,full_name,pct,birthday,gender,party,senate_class,stage,cycle,start_date,end_date,ranked_choice_reallocated
0,Raphael G. Warnock,51.1,1969-07-23,M,Democrat,3.0,runoff,2022,2022-12-03,2022-12-05,False
1,Raphael G. Warnock,51.0,1969-07-23,M,Democrat,3.0,runoff,2022,2022-12-01,2022-12-05,False
2,Raphael G. Warnock,50.5,1969-07-23,M,Democrat,3.0,runoff,2022,2022-12-04,2022-12-04,False
3,Raphael G. Warnock,50.0,1969-07-23,M,Democrat,3.0,runoff,2022,2022-12-04,2022-12-04,False
4,Raphael G. Warnock,52.2,1969-07-23,M,Democrat,3.0,runoff,2022,2022-12-04,2022-12-04,False
5,Raphael G. Warnock,48.7,1969-07-23,M,Democrat,3.0,runoff,2022,2022-11-30,2022-12-02,False
6,Raphael G. Warnock,50.8,1969-07-23,M,Democrat,3.0,runoff,2022,2022-11-28,2022-11-30,False
7,Raphael G. Warnock,50.0,1969-07-23,M,Democrat,3.0,runoff,2022,2022-11-26,2022-11-30,False
8,Raphael G. Warnock,51.0,1969-07-23,M,Democrat,3.0,runoff,2022,2022-11-25,2022-11-29,False
9,Raphael G. Warnock,52.0,1969-07-23,M,Democrat,3.0,runoff,2022,2022-11-25,2022-11-29,False
10,Raphael G. Warnock,51.0,1969-07-23,M,Democrat,3.0,runoff,2022,2022-11-18,2022-11-28,False
11,Raphael G. Warnock,47.3,1969-07-23,M,Democrat,3.0,runoff,2022,2022-11-26,2022-11-27,False
12,Raphael G. Warnock,50.0,1969-07-23,M,Democrat,3.0,runoff,2022,2022-11-23,2022-11-26,False
13,Raphael G. Warnock,51.0,1969-07-23,M,Democrat,3.0,runoff,2022,2022-11-11,2022-11-17,False
14,Raphael G. Warnock,45.4,1969-07-23,M,Democrat,3.0,general,2022,2022-11-05,2022-11-07,False
15,Raphael G. Warnock,45.8,1969-07-23,M,Democrat,3.0,general,2022,2022-11-05,2022-11-07,False
16,Raphael G. Warnock,59.0,1969-07-23,M,Democrat,3.0,general,2022,2022-11-05,2022-11-07,False
17,Raphael G. Warnock,46.4,1969-07-23,M,Democrat,3.0,general,2022,2022-11-04,2022-11-07,False
18,Raphael G. Warnock,47.0,1969-07-23,M,Democrat,3.0,general,2022,2022-11-06,2022-11-06,False
19,Raphael G. Warnock,49.0,1969-07-23,M,Democrat,3.0,general,2022,2022-11-04,2022-11-06,False
20,Raphael G. Warnock,46.5,1969-07-23,M,Democrat,3.0,general,2022,2022-11-04,2022-11-06,False
21,Raphael G. Warnock,48.0,1969-07-23,M,Democrat,3.0,general,2022,2022-11-02,2022-11-06,False
22,Raphael G. Warnock,47.0,1969-07-23,M,Democrat,3.0,general,2022,2022-11-02,2022-11-06,False
23,Raphael G. Warnock,46.0,1969-07-23,M,Democrat,3.0,general,2022,2022-11-02,2022-11-06,False
24,Raphael G. Warnock,48.9,1969-07-23,M,Democrat,3.0,general,2022,2022-11-02,2022-11-05,False
25,Raphael G. Warnock,45.0,1969-07-23,M,Democrat,3.0,general,2022,2022-11-01,2022-11-02,False
26,Raphael G. Warnock,45.0,1969-07-23,M,Democrat,3.0,general,2022,2022-11-01,2022-11-02,False
27,Raphael G. Warnock,45.0,1969-07-23,M,Democrat,3.0,general,2022,2022-10-31,2022-11-02,False
28,Raphael G. Warnock,45.0,1969-07-23,M,Democrat,3.0,general,2022,2022-10-31,2022-11-02,False
29,Raphael G. Warnock,49.0,1969-07-23,M,Democrat,3.0,general,2022,2022-10-31,2022-11-02,False
30,Raphael G. Warnock,49.0,1969-07-23,M,Democrat,3.0,general,2022,2022-10-29,2022-11-02,False
31,Raphael G. Warnock,44.0,1969-07-23,M,Democrat,3.0,general,2022,2022-10-29,2022-11-02,False
32,Raphael G. Warnock,49.0,1969-07-23,M,Democrat,3.0,general,2022,2022-10-30,2022-11-01,False
33,Raphael G. Warnock,49.5,1969-07-23,M,Democrat,3.0,general,2022,2022-10-28,2022-10-31,False
34,Raphael G. Warnock,44.0,1969-07-23,M,Democrat,3.0,general,2022,2022-10-26,2022-10-30,False
35,Raphael G. Warnock,45.3,1969-07-23,M,Democrat,3.0,general,2022,2022-10-27,2022-10-27,False
36,Raphael G. Warnock,47.0,1969-07-23,M,Democrat,3.0,general,2022,2022-10-24,2022-10-27,False
37,Raphael G. Warnock,45.2,1969-07-23,M,Democrat,3.0,general,2022,2022-10-16,2022-10-27,False
38,Raphael G. Warnock,43.6,1969-07-23,M,Democrat,3.0,general,2022,2022-10-24,2022-10-25,False
39,Raphael G. Warnock,42.0,1969-07-23,M,Democrat,3.0,general,2022,2022-10-22,2022-10-25,False
40,Raphael G. Warnock,43.0,1969-07-23,M,Democrat,3.0,general,2022,2022-10-23,2022-10-24,False
41,Raphael G. Warnock,46.5,1969-07-23,M,Democrat,3.0,general,2022,2022-10-21,2022-10-23,False
42,Raphael G. Warnock,48.0,1969-07-23,M,Democrat,3.0,general,2022,2022-10-19,2022-10-21,False
43,Raphael G. Warnock,48.7,1969-07-23,M,Democrat,3.0,general,2022,2022-10-13,2022-10-18,False
44,Raphael G. Warnock,46.1,1969-07-23,M,Democrat,3.0,general,2022,2022-10-15,2022-10-17,False
45,Raphael G. Warnock,48.0,1969-07-23,M,Democrat,3.0,general,2022,2022-10-13,2022-10-17,False
46,Raphael G. Warnock,46.3,1969-07-23,M,Democrat,3.0,general,2022,2022-10-16,2022-10-16,False
47,Raphael G. Warnock,46.1,1969-07-23,M,Democrat,3.0,general,2022,2022-10-08,2022-10-13,False
48,Raphael G. Warnock,46.3,1969-07-23,M,Democrat,3.0,general,2022,2022-10-08,2022-10-11,False
49,Raphael G. Warnock,44.0,1969-07-23,M,Democrat,3.0,general,2022,2022-10-08,2022-10-11,False
50,Raphael G. Warnock,49.0,1969-07-23,M,Democrat,3.0,general,2022,2022-10-08,2022-10-11,False
51,Raphael G. Warnock,52.0,1969-07-23,M,Democrat,3.0,general,2022,2022-10-07,2022-10-10,False
52,Raphael G. Warnock,47.8,1969-07-23,M,Democrat,3.0,general,2022,2022-10-06,2022-10-07,False
53,Raphael G. Warnock,47.2,1969-07-23,M,Democrat,3.0,general,2022,2022-10-04,2022-10-04,False
54,Raphael G. Warnock,50.0,1969-07-23,M,Democrat,3.0,general,2022,2022-09-30,2022-10-04,False
55,Raphael G. Warnock,46.4,1969-07-23,M,Democrat,3.0,general,2022,2022-09-25,2022-10-04,False
56,Raphael G. Warnock,46.0,1969-07-23,M,Democrat,3.0,general,2022,2022-09-22,2022-09-26,False
57,Raphael G. Warnock,46.0,1969-07-23,M,Democrat,3.0,general,2022,2022-09-16,2022-09-20,False
58,Raphael G. Warnock,51.0,1969-07-23,M,Democrat,3.0,general,2022,2022-09-14,2022-09-19,False
59,Raphael G. Warnock,44.2,1969-07-23,M,Democrat,3.0,general,2022,2022-09-05,2022-09-16,False
60,Raphael G. Warnock,47.0,1969-07-23,M,Democrat,3.0,general,2022,2022-09-12,2022-09-15,False
61,Raphael G. Warnock,49.0,1969-07-23,M,Democrat,3.0,general,2022,2022-09-09,2022-09-12,False
62,Raphael G. Warnock,50.0,1969-07-23,M,Democrat,3.0,general,2022,2022-09-09,2022-09-12,False
63,Raphael G. Warnock,52.0,1969-07-23,M,Democrat,3.0,general,2022,2022-09-08,2022-09-12,False
64,Raphael G. Warnock,44.0,1969-07-23,M,Democrat,3.0,general,2022,2022-09-06,2022-09-07,False
65,Raphael G. Warnock,50.0,1969-07-23,M,Democrat,3.0,general,2022,2022-08-31,2022-09-07,False
66,Raphael G. Warnock,43.9,1969-07-23,M,Democrat,3.0,general,2022,2022-08-28,2022-08-29,False
67,Raphael G. Warnock,46.7,1969-07-23,M,Democrat,3.0,general,2022,2022-08-24,2022-08-27,False
68,Raphael G. Warnock,43.6,1969-07-23,M,Democrat,3.0,general,2022,2022-08-03,2022-08-07,False
69,Raphael G. Warnock,49.0,1969-07-23,M,Democrat,3.0,general,2022,2022-07-26,2022-08-01,False
70,Raphael G. Warnock,48.0,1969-07-23,M,Democrat,3.0,general,2022,2022-07-26,2022-07-27,False
71,Raphael G. Warnock,46.0,1969-07-23,M,Democrat,3.0,general,2022,2022-07-22,2022-07-26,False
72,Raphael G. Warnock,41.7,1969-07-23,M,Democrat,3.0,general,2022,2022-07-22,2022-07-24,False
73,Raphael G. Warnock,48.0,1969-07-23,M,Democrat,3.0,general,2022,2022-07-21,2022-07-24,False
74,Raphael G. Warnock,46.1,1969-07-23,M,Democrat,3.0,general,2022,2022-07-14,2022-07-22,False
75,Raphael G. Warnock,48.0,1969-07-23,M,Democrat,3.0,general,2022,2022-07-05,2022-07-20,False
76,Raphael G. Warnock,48.0,1969-07-23,M,Democrat,3.0,general,2022,2022-07-05,2022-07-20,False
77,Raphael G. Warnock,50.0,1969-07-23,M,Democrat,3.0,general,2022,2022-07-05,2022-07-11,False
78,Raphael G. Warnock,47.0,1969-07-23,M,Democrat,3.0,general,2022,2022-07-01,2022-07-06,False
