rank_from_low,rank_from_high,percentile,cosponsored,id,bioguide_id,state,district,name
1,100,0,74,300089,S000320,AL,,b'Shelby'
2,99,1,81,412248,C001071,TN,,b'Corker'
3,98,2,94,412671,S001197,NE,,b'Sasse'
4,97,3,106,300072,M000355,KY,,b'McConnell'
5,96,4,133,412492,P000603,KY,,b'Paul'
6,95,5,138,402675,C000542,IN,,b'Coats'
7,94,6,150,300002,A000360,TN,,b'Alexander'
8,93,7,152,300082,R000146,NV,,b'Reid'
9,92,8,160,300088,S001141,AL,,b'Sessions'
10,91,9,166,412494,H001061,ND,,b'Hoeven'
11,90,10,170,300047,G000359,SC,,b'Graham'
12,89,11,171,400134,F000444,AZ,,b'Flake'
13,88,12,172,412667,E000295,IA,,b'Ernst'
14,87,13,175,412495,L000577,UT,,b'Lee'
15,86,14,178,412269,C001075,LA,,b'Cassidy'
16,85,15,179,300019,C000174,DE,,b'Carper'
17,84,16,181,412665,S001198,AK,,b'Sullivan'
18,82,17,185,412251,B001261,WY,,b'Barrasso'
18,82,17,185,400408,T000461,PA,,b'Toomey'
20,80,19,189,412205,D000607,IN,,b'Donnelly'
20,80,19,189,412464,L000575,OK,,b'Lankford'
22,79,21,193,412573,C001098,TX,,b'Cruz'
23,78,22,194,412471,S001184,SC,,b'Scott'
24,77,23,196,412391,M001183,WV,,b'Manchin'
25,75,24,198,412556,F000463,NE,,b'Fischer'
25,75,24,198,412496,J000293,WI,,b'Johnson'
27,74,26,202,400546,T000250,SD,,b'Thune'
28,73,27,204,400054,B001135,NC,,b'Burr'
29,72,28,205,412669,R000605,SD,,b'Rounds'
30,71,29,206,300041,E000285,WY,,b'Enzi'
31,70,30,208,412243,M001170,MO,,b'McCaskill'
32,69,31,213,300071,M000303,AZ,,b'McCain'
33,67,32,215,300023,C000567,MS,,b'Cochran'
33,67,32,215,300078,N000032,FL,,b'Nelson'
35,66,34,218,412508,C001095,AR,,b'Cotton'
36,65,35,221,412582,K000384,VA,,b'Kaine'
37,64,36,223,412322,R000584,ID,,b'Risch'
38,63,37,225,412321,W000805,VA,,b'Warner'
39,62,38,227,412668,T000476,NC,,b'Tillis'
40,60,39,229,412549,D000618,MT,,b'Daines'
40,60,39,229,300081,R000122,RI,,b'Reed'
42,58,41,232,300030,C000880,ID,,b'Crapo'
42,58,41,232,412218,H001041,NV,,b'Heller'
44,57,43,234,412666,P000612,GA,,b'Perdue'
45,56,44,236,400357,S000033,VT,,b'Sanders'
46,55,45,244,300027,C001056,TX,,b'Cornyn'
47,52,46,247,412406,G000562,CO,,b'Gardner'
47,52,46,247,300048,G000386,IA,,b'Grassley'
47,52,46,247,412554,H001069,ND,,b'Heitkamp'
50,50,49,248,300052,H000338,UT,,b'Hatch'
50,50,49,248,300075,M001153,AK,,b'Murkowski'
52,49,51,252,400325,P000449,OH,,b'Portman'
53,48,52,257,300018,C000127,WA,,b'Cantwell'
54,47,53,258,400418,V000127,LA,,b'Vitter'
55,46,54,261,400413,U000039,NM,,b'Udall'
56,45,55,263,300055,I000024,OK,,b'Inhofe'
57,44,56,266,400432,W000437,MS,,b'Wicker'
58,43,57,269,300083,R000307,KS,,b'Roberts'
59,41,58,278,400061,C001047,WV,,b'Capito'
59,41,58,278,412545,K000383,ME,,b'King'
61,39,60,279,300073,M000702,MD,,b'Mikulski'
61,39,60,279,400284,M000934,KS,,b'Moran'
63,38,62,281,400040,B001236,AR,,b'Boozman'
64,37,63,282,400194,I000055,GA,,b'Isakson'
65,36,64,286,300065,L000174,VT,,b'Leahy'
66,35,65,291,412244,T000464,MT,,b'Tester'
67,34,66,293,300100,W000779,OR,,b'Wyden'
68,33,67,294,400272,M000639,NJ,,b'Menendez'
69,32,68,300,412507,S001194,HI,,b'Schatz'
70,31,69,301,400064,C000141,MD,,b'Cardin'
71,30,70,305,400034,B000575,MO,,b'Blunt'
72,29,71,309,412281,H001046,NM,,b'Heinrich'
73,28,72,314,412246,C001070,PA,,b'Casey'
74,27,73,318,412598,B001288,NJ,,b'Booker'
75,26,74,327,300093,S000770,MI,,b'Stabenow'
76,25,75,331,300076,M001111,WA,,b'Murray'
77,24,76,332,412194,M001169,CT,,b'Murphy'
78,23,77,333,412330,B001267,CO,,b'Bennet'
79,21,78,338,300025,C001035,ME,,b'Collins'
79,21,78,338,412200,H001042,HI,,b'Hirono'
81,20,80,358,412491,R000595,FL,,b'Rubio'
82,19,81,359,412542,W000817,MA,,b'Warren'
83,18,82,368,412325,M001176,OR,,b'Merkley'
84,17,83,371,400222,K000360,IL,,b'Kirk'
85,16,84,372,412305,P000595,MI,,b'Peters'
86,15,85,373,412247,W000802,RI,,b'Whitehouse'
87,14,86,376,300043,F000062,CA,,b'Feinstein'
88,13,87,380,412323,S001181,NH,,b'Shaheen'
89,12,88,381,300011,B000711,CA,,b'Boxer'
90,11,89,384,300087,S000148,NY,,b'Schumer'
91,10,90,408,400050,B000944,OH,,b'Brown'
92,9,91,413,412242,K000367,MN,,b'Klobuchar'
93,8,92,423,400013,B001230,WI,,b'Baldwin'
94,7,93,426,300038,D000563,IL,,b'Durbin'
95,6,94,427,412390,C001088,DE,,b'Coons'
96,5,95,429,400253,M000133,MA,,b'Markey'
97,4,96,432,412493,A000368,NH,,b'Ayotte'
98,3,97,452,412378,F000457,MN,,b'Franken'
99,2,98,457,412223,G000555,NY,,b'Gillibrand'
100,1,99,479,412490,B001277,CT,,b'Blumenthal'
