rank_from_low,rank_from_high,percentile,missed-votes,id,bioguide_id,state,district,name
1,89,0,0.0,400013,B001230,WI,,b'Baldwin'
1,89,0,0.0,412330,B001267,CO,,b'Bennet'
1,89,0,0.0,300018,C000127,WA,,b'Cantwell'
1,89,0,0.0,400064,C000141,MD,,b'Cardin'
1,89,0,0.0,300025,C001035,ME,,b'Collins'
1,89,0,0.0,412549,D000618,MT,,b'Daines'
1,89,0,0.0,412667,E000295,IA,,b'Ernst'
1,89,0,0.0,412556,F000463,NE,,b'Fischer'
1,89,0,0.0,300048,G000386,IA,,b'Grassley'
1,89,0,0.0,300072,M000355,KY,,b'McConnell'
1,89,0,0.0,300081,R000122,RI,,b'Reed'
1,89,0,0.0,412542,W000817,MA,,b'Warren'
13,84,12,0.199,412251,B001261,WY,,b'Barrasso'
13,84,12,0.199,412200,H001042,HI,,b'Hirono'
13,84,12,0.199,412464,L000575,OK,,b'Lankford'
13,84,12,0.199,412244,T000464,MT,,b'Tester'
13,84,12,0.199,412247,W000802,RI,,b'Whitehouse'
18,80,17,0.398,412490,B001277,CT,,b'Blumenthal'
18,80,17,0.398,412223,G000555,NY,,b'Gillibrand'
18,80,17,0.398,412554,H001069,ND,,b'Heitkamp'
18,80,17,0.398,300087,S000148,NY,,b'Schumer'
22,74,21,0.598,400054,B001135,NC,,b'Burr'
22,74,21,0.598,300052,H000338,UT,,b'Hatch'
22,74,21,0.598,412281,H001046,NM,,b'Heinrich'
22,74,21,0.598,412194,M001169,CT,,b'Murphy'
22,74,21,0.598,412507,S001194,HI,,b'Schatz'
22,74,21,0.598,412668,T000476,NC,,b'Tillis'
28,67,27,0.797,400040,B001236,AR,,b'Boozman'
28,67,27,0.797,400061,C001047,WV,,b'Capito'
28,67,27,0.797,412205,D000607,IN,,b'Donnelly'
28,67,27,0.797,412322,R000584,ID,,b'Risch'
28,67,27,0.797,412323,S001181,NH,,b'Shaheen'
28,67,27,0.797,400546,T000250,SD,,b'Thune'
28,67,27,0.797,400413,U000039,NM,,b'Udall'
35,64,34,0.996,412246,C001070,PA,,b'Casey'
35,64,34,0.996,412325,M001176,OR,,b'Merkley'
35,64,34,0.996,412671,S001197,NE,,b'Sasse'
38,59,37,1.195,412269,C001075,LA,,b'Cassidy'
38,59,37,1.195,412494,H001061,ND,,b'Hoeven'
38,59,37,1.195,400194,I000055,GA,,b'Isakson'
38,59,37,1.195,300076,M001111,WA,,b'Murray'
38,59,37,1.195,300100,W000779,OR,,b'Wyden'
43,54,42,1.394,412493,A000368,NH,,b'Ayotte'
43,54,42,1.394,412305,P000595,MI,,b'Peters'
43,54,42,1.394,400325,P000449,OH,,b'Portman'
43,54,42,1.394,412669,R000605,SD,,b'Rounds'
43,54,42,1.394,300093,S000770,MI,,b'Stabenow'
48,48,47,1.594,412598,B001288,NJ,,b'Booker'
48,48,47,1.594,300023,C000567,MS,,b'Cochran'
48,48,47,1.594,412242,K000367,MN,,b'Klobuchar'
48,48,47,1.594,300065,L000174,VT,,b'Leahy'
48,48,47,1.594,400253,M000133,MA,,b'Markey'
48,48,47,1.594,412666,P000612,GA,,b'Perdue'
54,45,53,1.793,300027,C001056,TX,,b'Cornyn'
54,45,53,1.793,412391,M001183,WV,,b'Manchin'
54,45,53,1.793,400272,M000639,NJ,,b'Menendez'
57,37,56,2.191,400050,B000944,OH,,b'Brown'
57,37,56,2.191,300030,C000880,ID,,b'Crapo'
57,37,56,2.191,300038,D000563,IL,,b'Durbin'
57,37,56,2.191,412406,G000562,CO,,b'Gardner'
57,37,56,2.191,412545,K000383,ME,,b'King'
57,37,56,2.191,300083,R000307,KS,,b'Roberts'
57,37,56,2.191,412471,S001184,SC,,b'Scott'
57,37,56,2.191,400432,W000437,MS,,b'Wicker'
65,34,64,2.59,300019,C000174,DE,,b'Carper'
65,34,64,2.59,300043,F000062,CA,,b'Feinstein'
65,34,64,2.59,300055,I000024,OK,,b'Inhofe'
68,28,67,2.789,300002,A000360,TN,,b'Alexander'
68,28,67,2.789,412248,C001071,TN,,b'Corker'
68,28,67,2.789,412508,C001095,AR,,b'Cotton'
68,28,67,2.789,412378,F000457,MN,,b'Franken'
68,28,67,2.789,300071,M000303,AZ,,b'McCain'
68,28,67,2.789,300088,S001141,AL,,b'Sessions'
74,26,73,2.988,402675,C000542,IN,,b'Coats'
74,26,73,2.988,412218,H001041,NV,,b'Heller'
76,24,75,3.187,412496,J000293,WI,,b'Johnson'
76,24,75,3.187,412582,K000384,VA,,b'Kaine'
78,22,77,3.386,300041,E000285,WY,,b'Enzi'
78,22,77,3.386,412665,S001198,AK,,b'Sullivan'
80,21,79,3.586,412390,C001088,DE,,b'Coons'
81,20,80,3.785,400284,M000934,KS,,b'Moran'
82,19,81,3.984,300089,S000320,AL,,b'Shelby'
83,17,82,4.183,400134,F000444,AZ,,b'Flake'
83,17,82,4.183,300075,M001153,AK,,b'Murkowski'
85,15,84,4.382,400034,B000575,MO,,b'Blunt'
85,15,84,4.382,412243,M001170,MO,,b'McCaskill'
87,14,86,4.781,412492,P000603,KY,,b'Paul'
88,13,87,5.378,300073,M000702,MD,,b'Mikulski'
89,12,88,6.175,400222,K000360,IL,,b'Kirk'
90,11,89,6.375,300078,N000032,FL,,b'Nelson'
91,9,90,7.171,412495,L000577,UT,,b'Lee'
91,9,90,7.171,412321,W000805,VA,,b'Warner'
93,8,92,7.968,400408,T000461,PA,,b'Toomey'
94,7,93,12.151,300082,R000146,NV,,b'Reid'
95,6,94,13.347,300011,B000711,CA,,b'Boxer'
96,5,95,15.139,400418,V000127,LA,,b'Vitter'
97,4,96,24.502,300047,G000359,SC,,b'Graham'
98,3,97,28.486,400357,S000033,VT,,b'Sanders'
99,2,98,31.275,412491,R000595,FL,,b'Rubio'
100,1,99,32.271,412573,C001098,TX,,b'Cruz'
