rank_from_low,rank_from_high,percentile,bills-introduced,id,bioguide_id,state,district,name
1,99,0,4,412743,H001079,MS,,b'Hyde-Smith'
2,98,1,10,300089,S000320,AL,,b'Shelby'
3,97,2,11,412741,J000300,AL,,b'Jones'
4,96,3,15,412671,S001197,NE,,b'Sasse'
5,94,4,16,412680,H001076,NH,,b'Hassan'
5,94,4,16,300087,S000148,NY,,b'Schumer'
7,93,6,18,412668,T000476,NC,,b'Tillis'
8,92,7,19,300065,L000174,VT,,b'Leahy'
9,91,8,20,412248,C001071,TN,,b'Corker'
10,90,9,21,400415,V000128,MD,,b'Van Hollen'
11,86,10,23,300019,C000174,DE,,b'Carper'
11,86,10,23,412681,C001113,NV,,b'Cortez Masto'
11,86,10,23,300083,R000307,KS,,b'Roberts'
11,86,10,23,400408,T000461,PA,,b'Toomey'
15,84,14,25,400061,C001047,WV,,b'Capito'
15,84,14,25,412281,H001046,NM,,b'Heinrich'
17,81,16,26,412666,P000612,GA,,b'Perdue'
17,81,16,26,412322,R000584,ID,,b'Risch'
17,81,16,26,412742,S001203,MN,,b'Smith'
20,80,19,27,300047,G000359,SC,,b'Graham'
21,77,20,28,400040,B001236,AR,,b'Boozman'
21,77,20,28,412679,K000393,LA,,b'Kennedy'
21,77,20,28,412545,K000383,ME,,b'King'
24,76,23,29,300041,E000285,WY,,b'Enzi'
25,74,24,30,412508,C001095,AR,,b'Cotton'
25,74,24,30,412471,S001184,SC,,b'Scott'
27,69,26,31,300002,A000360,TN,,b'Alexander'
27,69,26,31,412251,B001261,WY,,b'Barrasso'
27,69,26,31,300030,C000880,ID,,b'Crapo'
27,69,26,31,412464,L000575,OK,,b'Lankford'
27,69,26,31,400357,S000033,VT,,b'Sanders'
32,68,31,32,412556,F000463,NE,,b'Fischer'
33,67,32,33,300081,R000122,RI,,b'Reed'
34,65,33,34,412667,E000295,IA,,b'Ernst'
34,65,33,34,412194,M001169,CT,,b'Murphy'
36,60,35,35,400054,B001135,NC,,b'Burr'
36,60,35,35,412205,D000607,IN,,b'Donnelly'
36,60,35,35,300055,I000024,OK,,b'Inhofe'
36,60,35,35,412496,J000293,WI,,b'Johnson'
36,60,35,35,412582,K000384,VA,,b'Kaine'
41,56,40,37,412494,H001061,ND,,b'Hoeven'
41,56,40,37,400194,I000055,GA,,b'Isakson'
41,56,40,37,400284,M000934,KS,,b'Moran'
41,56,40,37,412665,S001198,AK,,b'Sullivan'
45,55,44,38,412391,M001183,WV,,b'Manchin'
46,54,45,40,300018,C000127,WA,,b'Cantwell'
47,52,46,41,412305,P000595,MI,,b'Peters'
47,52,46,41,412247,W000802,RI,,b'Whitehouse'
49,50,48,42,412321,W000805,VA,,b'Warner'
49,50,48,42,412428,Y000064,IN,,b'Young'
51,48,51,43,412330,B001267,CO,,b'Bennet'
51,48,51,43,300076,M001111,WA,,b'Murray'
53,46,53,44,412554,H001069,ND,,b'Heitkamp'
53,46,53,44,412507,S001194,HI,,b'Schatz'
55,45,55,46,400413,U000039,NM,,b'Udall'
56,43,56,48,300072,M000355,KY,,b'McConnell'
56,43,56,48,412669,R000605,SD,,b'Rounds'
58,42,58,49,412495,L000577,UT,,b'Lee'
59,40,59,50,400034,B000575,MO,,b'Blunt'
59,40,59,50,300093,S000770,MI,,b'Stabenow'
61,37,61,52,412678,H001075,CA,,b'Harris'
61,37,61,52,412492,P000603,KY,,b'Paul'
61,37,61,52,400432,W000437,MS,,b'Wicker'
64,36,64,53,412406,G000562,CO,,b'Gardner'
65,34,65,54,412243,M001170,MO,,b'McCaskill'
65,34,65,54,400325,P000449,OH,,b'Portman'
67,33,67,55,412533,D000622,IL,,b'Duckworth'
68,32,68,57,300075,M001153,AK,,b'Murkowski'
69,30,69,58,300025,C001035,ME,,b'Collins'
69,30,69,58,412200,H001042,HI,,b'Hirono'
71,29,71,59,412390,C001088,DE,,b'Coons'
72,27,72,60,300038,D000563,IL,,b'Durbin'
72,27,72,60,400546,T000250,SD,,b'Thune'
74,26,74,61,412269,C001075,LA,,b'Cassidy'
75,25,75,62,412223,G000555,NY,,b'Gillibrand'
76,22,76,66,412573,C001098,TX,,b'Cruz'
76,22,76,66,412549,D000618,MT,,b'Daines'
76,22,76,66,412323,S001181,NH,,b'Shaheen'
79,21,79,67,300043,F000062,CA,,b'Feinstein'
80,20,80,68,400134,F000444,AZ,,b'Flake'
81,19,81,69,412325,M001176,OR,,b'Merkley'
82,18,82,70,400013,B001230,WI,,b'Baldwin'
83,17,83,71,400050,B000944,OH,,b'Brown'
84,16,84,72,412218,H001041,NV,,b'Heller'
85,15,85,73,412244,T000464,MT,,b'Tester'
86,14,86,74,300078,N000032,FL,,b'Nelson'
87,13,87,75,412598,B001288,NJ,,b'Booker'
88,11,88,77,412490,B001277,CT,,b'Blumenthal'
88,11,88,77,300100,W000779,OR,,b'Wyden'
90,10,90,78,400253,M000133,MA,,b'Markey'
91,9,91,79,400272,M000639,NJ,,b'Menendez'
92,8,92,80,412542,W000817,MA,,b'Warren'
93,6,93,82,412246,C001070,PA,,b'Casey'
93,6,93,82,300027,C001056,TX,,b'Cornyn'
95,5,95,87,400064,C000141,MD,,b'Cardin'
96,3,96,92,412242,K000367,MN,,b'Klobuchar'
96,3,96,92,412491,R000595,FL,,b'Rubio'
98,2,98,97,300048,G000386,IA,,b'Grassley'
99,1,99,125,300052,H000338,UT,,b'Hatch'
