rank_from_low,rank_from_high,percentile,leadership,id,bioguide_id,state,district,name
1,99,0,0.0,300089,S000320,AL,,b'Shelby'
2,98,1,0.021730732787252162,412743,H001079,MS,,b'Hyde-Smith'
3,97,2,0.10619523537157637,412680,H001076,NH,,b'Hassan'
4,96,3,0.18050725212561042,412741,J000300,AL,,b'Jones'
5,95,4,0.22590358774153163,412545,K000383,ME,,b'King'
6,94,5,0.2278205959037578,412742,S001203,MN,,b'Smith'
7,93,6,0.23066071595783325,412281,H001046,NM,,b'Heinrich'
8,92,7,0.24369302434181125,412669,R000605,SD,,b'Rounds'
9,91,8,0.24721997286445785,412681,C001113,NV,,b'Cortez Masto'
10,90,9,0.2510019854425336,400357,S000033,VT,,b'Sanders'
11,89,10,0.26432190003355144,300087,S000148,NY,,b'Schumer'
12,88,11,0.29870710498522035,412666,P000612,GA,,b'Perdue'
13,87,12,0.2992253040125283,400415,V000128,MD,,b'Van Hollen'
14,86,13,0.3011204748828905,400061,C001047,WV,,b'Capito'
15,85,14,0.30129445002711824,412508,C001095,AR,,b'Cotton'
16,84,15,0.3231475060514081,412330,B001267,CO,,b'Bennet'
17,83,16,0.33133894512945433,412671,S001197,NE,,b'Sasse'
18,82,17,0.349056383714567,412494,H001061,ND,,b'Hoeven'
19,81,18,0.35386413925563426,412679,K000393,LA,,b'Kennedy'
20,80,19,0.3543604334301248,300065,L000174,VT,,b'Leahy'
21,79,20,0.3564354351547718,412194,M001169,CT,,b'Murphy'
22,78,21,0.3823657209331138,400040,B001236,AR,,b'Boozman'
23,77,22,0.3877034977345467,300041,E000285,WY,,b'Enzi'
24,76,23,0.39239135339013165,412668,T000476,NC,,b'Tillis'
25,75,24,0.3940801886061415,412464,L000575,OK,,b'Lankford'
26,74,25,0.39437924363594923,300019,C000174,DE,,b'Carper'
27,73,26,0.396523981010741,400413,U000039,NM,,b'Udall'
28,72,27,0.3981834449761151,412406,G000562,CO,,b'Gardner'
29,71,28,0.4019114862668375,412556,F000463,NE,,b'Fischer'
30,70,29,0.4124616755129495,412243,M001170,MO,,b'McCaskill'
31,69,30,0.4197594960415375,400284,M000934,KS,,b'Moran'
32,68,31,0.4231835248192184,300055,I000024,OK,,b'Inhofe'
33,67,32,0.42760061937598326,412471,S001184,SC,,b'Scott'
34,66,33,0.4280612846033477,412665,S001198,AK,,b'Sullivan'
35,65,34,0.429680691886888,300093,S000770,MI,,b'Stabenow'
36,64,35,0.441401546571045,412391,M001183,WV,,b'Manchin'
37,63,36,0.44286335594237536,412205,D000607,IN,,b'Donnelly'
38,62,37,0.44393309848739126,412492,P000603,KY,,b'Paul'
39,61,38,0.44663174518514653,412305,P000595,MI,,b'Peters'
40,60,39,0.45772440312516455,412533,D000622,IL,,b'Duckworth'
41,59,40,0.45904592107538106,412322,R000584,ID,,b'Risch'
42,58,41,0.4621890739225802,412428,Y000064,IN,,b'Young'
43,57,42,0.476384639417276,300081,R000122,RI,,b'Reed'
44,56,43,0.48100966720750743,412247,W000802,RI,,b'Whitehouse'
45,55,44,0.4875198917609195,412667,E000295,IA,,b'Ernst'
46,54,45,0.48911239367069487,412678,H001075,CA,,b'Harris'
47,53,46,0.4944226503270661,300075,M001153,AK,,b'Murkowski'
48,52,47,0.49561565840221383,300038,D000563,IL,,b'Durbin'
49,51,48,0.4958039878558812,412200,H001042,HI,,b'Hirono'
50,50,49,0.5000000000000001,400054,B001135,NC,,b'Burr'
51,49,51,0.5023929116643377,412325,M001176,OR,,b'Merkley'
52,48,52,0.5180411584590764,412223,G000555,NY,,b'Gillibrand'
53,47,53,0.5203430864830093,300018,C000127,WA,,b'Cantwell'
54,46,54,0.5239337477399588,300002,A000360,TN,,b'Alexander'
55,45,55,0.5336703219598995,412251,B001261,WY,,b'Barrasso'
56,44,56,0.5437917079789751,412490,B001277,CT,,b'Blumenthal'
57,43,57,0.5526985512139183,412549,D000618,MT,,b'Daines'
58,42,58,0.5535320152366836,412554,H001069,ND,,b'Heitkamp'
59,41,59,0.5589960680089775,412495,L000577,UT,,b'Lee'
60,40,60,0.5608389632409869,412321,W000805,VA,,b'Warner'
61,39,61,0.5615828194756015,412323,S001181,NH,,b'Shaheen'
62,38,62,0.569003793536523,412248,C001071,TN,,b'Corker'
63,37,63,0.580058570282275,300076,M001111,WA,,b'Murray'
64,36,64,0.5807413458280957,412598,B001288,NJ,,b'Booker'
65,35,65,0.5833375666727031,300078,N000032,FL,,b'Nelson'
66,34,66,0.5853683784979309,300083,R000307,KS,,b'Roberts'
67,33,67,0.5866692521440358,400253,M000133,MA,,b'Markey'
