rank_from_low,rank_from_high,percentile,cosponsors,id,bioguide_id,state,district,name
1,100,0,0,456794,K000377,AZ,,b'Kelly'
2,99,1,2,300089,S000320,AL,,b'Shelby'
3,98,2,51,456790,L000594,GA,,b'Loeffler'
4,97,3,54,412841,R000615,UT,,b'Romney'
5,96,4,97,412545,K000383,ME,,b'King'
6,95,5,112,412669,R000605,SD,,b'Rounds'
7,94,6,113,412556,F000463,NE,,b'Fischer'
8,93,7,125,412743,H001079,MS,,b'Hyde-Smith'
9,92,8,134,412838,S001217,FL,,b'Scott'
10,91,9,135,300002,A000360,TN,,b'Alexander'
11,90,10,137,300083,R000307,KS,,b'Roberts'
12,89,11,143,412492,P000603,KY,,b'Paul'
13,88,12,144,412671,S001197,NE,,b'Sasse'
14,87,13,160,300072,M000355,KY,,b'McConnell'
15,86,14,161,412840,H001089,MO,,b'Hawley'
16,85,15,168,400061,C001047,WV,,b'Capito'
17,84,16,171,412555,C001096,ND,,b'Cramer'
18,83,17,174,412741,J000300,AL,,b'Jones'
19,82,18,175,300041,E000285,WY,,b'Enzi'
20,81,19,184,412680,H001076,NH,,b'Hassan'
21,80,20,185,412668,T000476,NC,,b'Tillis'
22,79,21,188,300018,C000127,WA,,b'Cantwell'
23,78,22,195,412509,S001191,AZ,,b'Sinema'
24,77,23,200,412464,L000575,OK,,b'Lankford'
25,76,24,202,412679,K000393,LA,,b'Kennedy'
26,75,25,213,412496,J000293,WI,,b'Johnson'
27,74,26,221,400357,S000033,VT,,b'Sanders'
28,73,27,222,412322,R000584,ID,,b'Risch'
29,72,28,227,412666,P000612,GA,,b'Perdue'
30,71,29,228,412839,B001310,IN,,b'Braun'
31,70,30,233,412281,H001046,NM,,b'Heinrich'
32,69,31,257,400040,B001236,AR,,b'Boozman'
33,68,32,260,400032,B001243,TN,,b'Blackburn'
34,67,33,263,300019,C000174,DE,,b'Carper'
35,66,34,265,412715,R000608,NV,,b'Rosen'
36,65,35,270,412665,S001198,AK,,b'Sullivan'
37,64,36,272,300081,R000122,RI,,b'Reed'
38,63,37,281,412330,B001267,CO,,b'Bennet'
39,62,38,284,300030,C000880,ID,,b'Crapo'
40,61,39,287,412508,C001095,AR,,b'Cotton'
41,60,40,289,400054,B001135,NC,,b'Burr'
42,59,41,302,300055,I000024,OK,,b'Inhofe'
43,57,42,304,412251,B001261,WY,,b'Barrasso'
43,57,42,304,400415,V000128,MD,,b'Van Hollen'
45,56,44,305,300065,L000174,VT,,b'Leahy'
46,55,45,306,300093,S000770,MI,,b'Stabenow'
47,54,46,307,412428,Y000064,IN,,b'Young'
48,53,47,313,412391,M001183,WV,,b'Manchin'
49,52,48,320,412667,E000295,IA,,b'Ernst'
50,51,49,324,412406,G000562,CO,,b'Gardner'
51,50,50,327,412549,D000618,MT,,b'Daines'
52,48,51,329,400284,M000934,KS,,b'Moran'
52,48,51,329,412194,M001169,CT,,b'Murphy'
54,47,53,331,412269,C001075,LA,,b'Cassidy'
55,46,54,342,412321,W000805,VA,,b'Warner'
56,45,55,349,412582,K000384,VA,,b'Kaine'
57,44,56,362,412494,H001061,ND,,b'Hoeven'
58,42,57,364,412495,L000577,UT,,b'Lee'
58,42,57,364,400546,T000250,SD,,b'Thune'
60,41,59,387,412471,S001184,SC,,b'Scott'
61,40,60,390,412681,C001113,NV,,b'Cortez Masto'
62,39,61,421,412247,W000802,RI,,b'Whitehouse'
63,38,62,423,400408,T000461,PA,,b'Toomey'
64,37,63,431,412573,C001098,TX,,b'Cruz'
65,36,64,432,412742,S001203,MN,,b'Smith'
66,35,65,435,412305,P000595,MI,,b'Peters'
67,34,66,450,412533,D000622,IL,,b'Duckworth'
68,33,67,451,400034,B000575,MO,,b'Blunt'
69,32,68,458,300087,S000148,NY,,b'Schumer'
70,31,69,481,400325,P000449,OH,,b'Portman'
71,30,70,485,300075,M001153,AK,,b'Murkowski'
72,29,71,493,412200,H001042,HI,,b'Hirono'
73,28,72,507,400432,W000437,MS,,b'Wicker'
74,27,73,519,412223,G000555,NY,,b'Gillibrand'
75,26,74,534,400413,U000039,NM,,b'Udall'
76,25,75,566,300048,G000386,IA,,b'Grassley'
77,24,76,593,412490,B001277,CT,,b'Blumenthal'
78,23,77,594,412678,H001075,CA,,b'Harris'
79,22,78,615,412244,T000464,MT,,b'Tester'
80,21,79,617,412507,S001194,HI,,b'Schatz'
81,20,80,634,300100,W000779,OR,,b'Wyden'
82,19,81,648,412323,S001181,NH,,b'Shaheen'
83,18,82,662,400013,B001230,WI,,b'Baldwin'
84,17,83,685,300043,F000062,CA,,b'Feinstein'
85,16,84,686,412598,B001288,NJ,,b'Booker'
86,15,85,697,412246,C001070,PA,,b'Casey'
87,14,86,703,412390,C001088,DE,,b'Coons'
88,13,87,734,300047,G000359,SC,,b'Graham'
89,12,88,739,412325,M001176,OR,,b'Merkley'
90,11,89,755,400050,B000944,OH,,b'Brown'
91,10,90,776,412542,W000817,MA,,b'Warren'
92,9,91,796,412242,K000367,MN,,b'Klobuchar'
93,8,92,797,300025,C001035,ME,,b'Collins'
94,7,93,811,300027,C001056,TX,,b'Cornyn'
95,6,94,843,300076,M001111,WA,,b'Murray'
96,5,95,914,300038,D000563,IL,,b'Durbin'
97,4,96,935,400064,C000141,MD,,b'Cardin'
98,3,97,995,412491,R000595,FL,,b'Rubio'
99,2,98,1038,400253,M000133,MA,,b'Markey'
100,1,99,1515,400272,M000639,NJ,,b'Menendez'
