rank_from_low,rank_from_high,percentile,bills-with-companion,id,bioguide_id,state,district,name
1,100,0,1,412671,S001197,NE,,b'Sasse'
2,98,1,2,412294,L000571,WY,,b'Lummis'
2,98,1,2,300089,S000320,AL,,b'Shelby'
4,96,3,4,412669,R000605,SD,,b'Rounds'
4,96,3,4,300087,S000148,NY,,b'Schumer'
6,94,5,5,412494,H001061,ND,,b'Hoeven'
6,94,5,5,300072,M000355,KY,,b'McConnell'
8,89,7,6,400061,C001047,WV,,b'Capito'
8,89,7,6,412743,H001079,MS,,b'Hyde-Smith'
8,89,7,6,412545,K000383,ME,,b'King'
8,89,7,6,412841,R000615,UT,,b'Romney'
8,89,7,6,456796,T000278,AL,,b'Tuberville'
13,87,12,7,400040,B001236,AR,,b'Boozman'
13,87,12,7,412496,J000293,WI,,b'Johnson'
15,78,14,8,400054,B001135,NC,,b'Burr'
15,78,14,8,412555,C001096,ND,,b'Cramer'
15,78,14,8,300030,C000880,ID,,b'Crapo'
15,78,14,8,300047,G000359,SC,,b'Graham'
15,78,14,8,456797,H000273,CO,,b'Hickenlooper'
15,78,14,8,300055,I000024,OK,,b'Inhofe'
15,78,14,8,300065,L000174,VT,,b'Leahy'
15,78,14,8,412322,R000584,ID,,b'Risch'
15,78,14,8,400432,W000437,MS,,b'Wicker'
24,76,23,9,412556,F000463,NE,,b'Fischer'
24,76,23,9,412665,S001198,AK,,b'Sullivan'
26,73,25,10,400034,B000575,MO,,b'Blunt'
26,73,25,10,456798,H000601,TN,,b'Hagerty'
26,73,25,10,412464,L000575,OK,,b'Lankford'
29,70,28,11,300018,C000127,WA,,b'Cantwell'
29,70,28,11,412582,K000384,VA,,b'Kaine'
29,70,28,11,400408,T000461,PA,,b'Toomey'
32,66,31,12,412251,B001261,WY,,b'Barrasso'
32,66,31,12,300019,C000174,DE,,b'Carper'
32,66,31,12,412391,M001183,WV,,b'Manchin'
32,66,31,12,412668,T000476,NC,,b'Tillis'
36,63,35,13,456794,K000377,AZ,,b'Kelly'
36,63,35,13,412492,P000603,KY,,b'Paul'
36,63,35,13,412428,Y000064,IN,,b'Young'
39,62,38,14,300081,R000122,RI,,b'Reed'
40,60,39,15,412509,S001191,AZ,,b'Sinema'
40,60,39,15,412321,W000805,VA,,b'Warner'
42,57,41,16,300025,C001035,ME,,b'Collins'
42,57,41,16,412840,H001089,MO,,b'Hawley'
42,57,41,16,456857,O000174,GA,,b'Ossoff'
45,55,44,17,400013,B001230,WI,,b'Baldwin'
45,55,44,17,412323,S001181,NH,,b'Shaheen'
47,49,46,18,400032,B001243,TN,,b'Blackburn'
47,49,46,18,400284,M000934,KS,,b'Moran'
47,49,46,18,300075,M001153,AK,,b'Murkowski'
47,49,46,18,412471,S001184,SC,,b'Scott'
47,49,46,18,412838,S001217,FL,,b'Scott'
47,49,46,18,412742,S001203,MN,,b'Smith'
53,47,52,19,412269,C001075,LA,,b'Cassidy'
53,47,52,19,456858,W000790,GA,,b'Warnock'
55,43,54,20,412667,E000295,IA,,b'Ernst'
55,43,54,20,412715,R000608,NV,,b'Rosen'
55,43,54,20,400357,S000033,VT,,b'Sanders'
55,43,54,20,400546,T000250,SD,,b'Thune'
59,40,58,21,412680,H001076,NH,,b'Hassan'
59,40,58,21,300076,M001111,WA,,b'Murray'
59,40,58,21,300093,S000770,MI,,b'Stabenow'
62,35,61,22,412281,H001046,NM,,b'Heinrich'
62,35,61,22,412679,K000393,LA,,b'Kennedy'
62,35,61,22,456856,P000145,CA,,b'Padilla'
62,35,61,22,412244,T000464,MT,,b'Tester'
62,35,61,22,400415,V000128,MD,,b'Van Hollen'
67,31,66,23,412330,B001267,CO,,b'Bennet'
67,31,66,23,412293,L000570,NM,,b'Luj\xc3\xa1n'
67,31,66,23,412194,M001169,CT,,b'Murphy'
67,31,66,23,412305,P000595,MI,,b'Peters'
71,27,70,24,400064,C000141,MD,,b'Cardin'
71,27,70,24,412390,C001088,DE,,b'Coons'
71,27,70,24,412508,C001095,AR,,b'Cotton'
71,27,70,24,412200,H001042,HI,,b'Hirono'
75,25,74,25,412549,D000618,MT,,b'Daines'
75,25,74,25,400325,P000449,OH,,b'Portman'
77,24,76,26,412247,W000802,RI,,b'Whitehouse'
78,20,77,28,300043,F000062,CA,,b'Feinstein'
78,20,77,28,300048,G000386,IA,,b'Grassley'
78,20,77,28,412704,M001198,KS,,b'Marshall'
78,20,77,28,412507,S001194,HI,,b'Schatz'
82,19,81,30,300100,W000779,OR,,b'Wyden'
83,16,82,32,412839,B001310,IN,,b'Braun'
83,16,82,32,412573,C001098,TX,,b'Cruz'
83,16,82,32,412533,D000622,IL,,b'Duckworth'
86,15,85,33,400050,B000944,OH,,b'Brown'
87,13,86,35,300027,C001056,TX,,b'Cornyn'
87,13,86,35,412681,C001113,NV,,b'Cortez Masto'
89,12,88,36,412223,G000555,NY,,b'Gillibrand'
90,11,89,38,412495,L000577,UT,,b'Lee'
91,10,90,41,412325,M001176,OR,,b'Merkley'
92,9,91,43,400272,M000639,NJ,,b'Menendez'
93,7,92,45,412490,B001277,CT,,b'Blumenthal'
93,7,92,45,412246,C001070,PA,,b'Casey'
95,6,94,49,412598,B001288,NJ,,b'Booker'
96,4,95,51,300038,D000563,IL,,b'Durbin'
96,4,95,51,412542,W000817,MA,,b'Warren'
98,3,97,54,412242,K000367,MN,,b'Klobuchar'
99,2,98,56,400253,M000133,MA,,b'Markey'
100,1,99,72,412491,R000595,FL,,b'Rubio'
