full_name,pct,birthday,gender,party,senate_class,stage,cycle,start_date,end_date,age,Emotion (Majority),Race (Majority),Valence (Mean)
amy klobuchar,54.0,1960-05-25,F,Democrat,1.0,general,2018,2018-10-15,2018-10-30,64,happy,white,26.80534018117629
amy klobuchar,55.0,1960-05-25,F,Democrat,1.0,general,2018,2018-11-02,2018-11-04,64,happy,white,26.80534018117629
amy klobuchar,53.0,1960-05-25,F,Democrat,1.0,general,2018,2018-11-01,2018-11-03,64,happy,white,26.80534018117629
amy klobuchar,57.0,1960-05-25,F,Democrat,1.0,general,2018,2018-10-29,2018-10-31,64,happy,white,26.80534018117629
amy klobuchar,56.0,1960-05-25,F,Democrat,1.0,general,2018,2018-10-15,2018-10-17,64,happy,white,26.80534018117629
amy klobuchar,50.0,1960-05-25,F,Democrat,1.0,general,2018,2018-10-12,2018-10-13,64,happy,white,26.80534018117629
amy klobuchar,49.0,1960-05-25,F,Democrat,1.0,general,2024,2024-02-23,2024-02-28,64,happy,white,26.80534018117629
amy klobuchar,57.0,1960-05-25,F,Democrat,1.0,general,2018,2018-06-24,2018-06-25,64,happy,white,26.80534018117629
amy klobuchar,59.0,1960-05-25,F,Democrat,1.0,general,2018,2018-09-30,2018-10-04,64,happy,white,26.80534018117629
amy klobuchar,53.6,1960-05-25,F,Democrat,1.0,general,2018,2018-08-17,2018-08-20,64,happy,white,26.80534018117629
amy klobuchar,60.0,1960-05-25,F,Democrat,1.0,general,2018,2018-09-30,2018-10-04,64,happy,white,26.80534018117629
amy klobuchar,62.0,1960-05-25,F,Democrat,1.0,general,2018,2018-09-30,2018-10-04,64,happy,white,26.80534018117629
amy klobuchar,63.0,1960-05-25,F,Democrat,1.0,general,2018,2018-09-30,2018-10-04,64,happy,white,26.80534018117629
amy klobuchar,60.0,1960-05-25,F,Democrat,1.0,general,2018,2018-09-10,2018-09-12,64,happy,white,26.80534018117629
amy klobuchar,53.0,1960-05-25,F,Democrat,1.0,general,2018,2018-09-06,2018-09-08,64,happy,white,26.80534018117629
amy klobuchar,50.2,1960-05-25,F,Democrat,1.0,general,2018,2018-08-08,2018-08-11,64,happy,white,26.80534018117629
benjamin l. cardin,56.0,1943-10-05,M,Democrat,1.0,general,2018,2018-09-11,2018-09-16,81,angry,white,0.5169637530488529
benjamin l. cardin,49.4,1943-10-05,M,Democrat,1.0,general,2018,2018-10-01,2018-10-06,81,angry,white,0.5169637530488529
bernard sanders,75.0,1941-09-08,M,Independent,1.0,general,2018,2018-09-23,2018-09-26,83,happy,white,10.594323282770713
bernard sanders,66.0,1941-09-08,M,Independent,1.0,general,2018,2018-10-30,2018-11-01,83,happy,white,10.594323282770713
bernard sanders,60.0,1941-09-08,M,Independent,1.0,general,2018,2018-10-05,2018-10-14,83,happy,white,10.594323282770713
bill cassidy,52.0,1957-09-28,M,Republican,2.0,runoff,2020,2020-08-06,2020-08-12,67,neutral,white,-3.6262515459061526
bill cassidy,42.0,1957-09-28,M,Republican,2.0,jungle primary,2020,2020-08-06,2020-08-12,67,neutral,white,-3.6262515459061526
bill hagerty,55.0,1959-08-14,M,Republican,2.0,general,2020,2020-01-28,2020-01-30,65,happy,asian,34.399512664827704
bill hagerty,56.3,1959-08-14,M,Republican,2.0,general,2020,2020-10-20,2020-10-22,65,happy,asian,34.399512664827704
bill hagerty,60.7,1959-08-14,M,Republican,2.0,general,2020,2020-10-23,2020-11-01,65,happy,asian,34.399512664827704
bill nelson,40.6,1942-09-29,M,Democrat,1.0,general,2018,2018-10-18,2018-10-21,82,happy,white,60.46165978363185
bill nelson,52.0,1942-09-29,M,Democrat,1.0,general,2018,2018-10-17,2018-10-21,82,happy,white,60.46165978363185
bill nelson,45.0,1942-09-29,M,Democrat,1.0,general,2018,2018-10-17,2018-10-20,82,happy,white,60.46165978363185
bill nelson,49.0,1942-09-29,M,Democrat,1.0,general,2018,2018-10-16,2018-10-20,82,happy,white,60.46165978363185
bill nelson,49.0,1942-09-29,M,Democrat,1.0,general,2018,2018-10-18,2018-10-21,82,happy,white,60.46165978363185
bill nelson,50.0,1942-09-29,M,Democrat,1.0,general,2018,2018-10-16,2018-10-20,82,happy,white,60.46165978363185
bill nelson,46.0,1942-09-29,M,Democrat,1.0,general,2018,2018-10-14,2018-10-18,82,happy,white,60.46165978363185
bill nelson,46.0,1942-09-29,M,Democrat,1.0,general,2018,2018-10-26,2018-11-01,82,happy,white,60.46165978363185
bill nelson,50.0,1942-09-29,M,Democrat,1.0,general,2018,2018-10-27,2018-10-30,82,happy,white,60.46165978363185
bill nelson,50.0,1942-09-29,M,Democrat,1.0,general,2018,2018-10-29,2018-11-02,82,happy,white,60.46165978363185
bill nelson,47.2,1942-09-29,M,Democrat,1.0,general,2018,2018-10-15,2018-10-16,82,happy,white,60.46165978363185
bill nelson,50.0,1942-09-29,M,Democrat,1.0,general,2018,2018-10-30,2018-11-02,82,happy,white,60.46165978363185
bill nelson,45.5,1942-09-29,M,Democrat,1.0,general,2018,2018-10-31,2018-11-02,82,happy,white,60.46165978363185
bill nelson,47.5,1942-09-29,M,Democrat,1.0,general,2018,2018-11-01,2018-11-02,82,happy,white,60.46165978363185
bill nelson,50.0,1942-09-29,M,Democrat,1.0,general,2018,2018-11-01,2018-11-02,82,happy,white,60.46165978363185
bill nelson,47.0,1942-09-29,M,Democrat,1.0,general,2018,2018-11-01,2018-11-03,82,happy,white,60.46165978363185
bill nelson,44.48,1942-09-29,M,Democrat,1.0,general,2018,2018-10-01,2018-10-05,82,happy,white,60.46165978363185
bill nelson,48.0,1942-09-29,M,Democrat,1.0,general,2018,2018-09-19,2018-10-02,82,happy,white,60.46165978363185
bill nelson,44.6,1942-09-29,M,Democrat,1.0,general,2018,2018-10-30,2018-11-01,82,happy,white,60.46165978363185
bill nelson,50.0,1942-09-29,M,Democrat,1.0,general,2018,2018-10-30,2018-11-02,82,happy,white,60.46165978363185
bill nelson,46.6,1942-09-29,M,Democrat,1.0,general,2018,2018-10-16,2018-10-22,82,happy,white,60.46165978363185
bill nelson,47.3,1942-09-29,M,Democrat,1.0,general,2018,2018-10-28,2018-10-30,82,happy,white,60.46165978363185
bill nelson,43.4,1942-09-29,M,Democrat,1.0,general,2018,2018-10-24,2018-10-30,82,happy,white,60.46165978363185
bill nelson,50.1,1942-09-29,M,Democrat,1.0,general,2018,2018-10-27,2018-10-29,82,happy,white,60.46165978363185
bill nelson,46.0,1942-09-29,M,Democrat,1.0,general,2018,2018-10-24,2018-10-29,82,happy,white,60.46165978363185
bill nelson,49.0,1942-09-29,M,Democrat,1.0,general,2018,2018-10-24,2018-10-29,82,happy,white,60.46165978363185
bill nelson,45.0,1942-09-29,M,Democrat,1.0,general,2018,2018-10-25,2018-10-28,82,happy,white,60.46165978363185
bill nelson,47.89,1942-09-29,M,Democrat,1.0,general,2018,2018-10-23,2018-10-27,82,happy,white,60.46165978363185
bill nelson,49.59,1942-09-29,M,Democrat,1.0,general,2018,2018-10-23,2018-10-27,82,happy,white,60.46165978363185
bill nelson,46.0,1942-09-29,M,Democrat,1.0,general,2018,2018-10-23,2018-10-26,82,happy,white,60.46165978363185
bill nelson,47.0,1942-09-29,M,Democrat,1.0,general,2018,2018-10-23,2018-10-26,82,happy,white,60.46165978363185
bill nelson,48.3,1942-09-29,M,Democrat,1.0,general,2018,2018-10-20,2018-10-21,82,happy,white,60.46165978363185
bill nelson,47.4,1942-09-29,M,Democrat,1.0,general,2018,2018-09-29,2018-09-30,82,happy,white,60.46165978363185
bill nelson,46.0,1942-09-29,M,Democrat,1.0,general,2018,2018-10-25,2018-10-31,82,happy,white,60.46165978363185
bill nelson,40.5,1942-09-29,M,Democrat,1.0,general,2018,2018-10-25,2018-10-31,82,happy,white,60.46165978363185
bill nelson,45.0,1942-09-29,M,Democrat,1.0,general,2018,2018-10-28,2018-10-31,82,happy,white,60.46165978363185
bill nelson,45.0,1942-09-29,M,Democrat,1.0,general,2018,2018-10-29,2018-10-31,82,happy,white,60.46165978363185
bill nelson,49.3,1942-09-29,M,Democrat,1.0,general,2018,2018-10-30,2018-10-31,82,happy,white,60.46165978363185
bill nelson,49.0,1942-09-29,M,Democrat,1.0,general,2018,2018-10-17,2018-10-25,82,happy,white,60.46165978363185
bill nelson,41.0,1942-09-29,M,Democrat,1.0,general,2018,2018-10-17,2018-10-25,82,happy,white,60.46165978363185
bill nelson,49.0,1942-09-29,M,Democrat,1.0,general,2018,2018-10-22,2018-10-23,82,happy,white,60.46165978363185
bill nelson,46.0,1942-09-29,M,Democrat,1.0,general,2018,2018-10-16,2018-10-23,82,happy,white,60.46165978363185
bill nelson,49.4,1942-09-29,M,Democrat,1.0,general,2018,2018-10-29,2018-10-30,82,happy,white,60.46165978363185
bill nelson,48.0,1942-09-29,M,Democrat,1.0,general,2018,2018-09-28,2018-09-30,82,happy,white,60.46165978363185
