,full_name,bioguide_id,govtrack_id,pct,birthday,gender,election_date,party,senate_class,stage,cycle,start_date,end_date,ranked_choice_reallocated,name,congressional
2927,"Joe Manchin, III",M001183,412391,57.0,1947-08-24,M,2018-11-06,Democrat,1.0,general,2018,2016-11-16,2016-11-17,False,joemanchin,114
3084,Thomas R. Carper,C000174,300019,47.0,1947-01-23,M,2018-11-06,Democrat,1.0,general,2018,2018-07-24,2018-07-29,False,thomascarper,115
2214,Kyrsten Sinema,S001191,412509,42.7,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-24,2018-10-30,False,kyrstensinema,115
2215,Kyrsten Sinema,S001191,412509,46.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-27,2018-10-29,False,kyrstensinema,115
2216,Kyrsten Sinema,S001191,412509,45.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-27,2018-10-29,False,kyrstensinema,115
2217,Kyrsten Sinema,S001191,412509,48.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-24,2018-10-29,False,kyrstensinema,115
2218,Kyrsten Sinema,S001191,412509,51.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-24,2018-10-29,False,kyrstensinema,115
2213,Kyrsten Sinema,S001191,412509,52.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-27,2018-10-30,False,kyrstensinema,115
2219,Kyrsten Sinema,S001191,412509,45.3,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-26,2018-10-28,False,kyrstensinema,115
2221,Kyrsten Sinema,S001191,412509,49.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-23,2018-10-27,False,kyrstensinema,115
2222,Kyrsten Sinema,S001191,412509,47.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-23,2018-10-27,False,kyrstensinema,115
2223,Kyrsten Sinema,S001191,412509,45.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-23,2018-10-27,False,kyrstensinema,115
2224,Kyrsten Sinema,S001191,412509,47.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-23,2018-10-26,False,kyrstensinema,115
2225,Kyrsten Sinema,S001191,412509,46.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-17,2018-10-26,False,kyrstensinema,115
2226,Kyrsten Sinema,S001191,412509,38.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-17,2018-10-26,False,kyrstensinema,115
2220,Kyrsten Sinema,S001191,412509,50.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-23,2018-10-27,False,kyrstensinema,115
2212,Kyrsten Sinema,S001191,412509,43.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-25,2018-10-31,False,kyrstensinema,115
2211,Kyrsten Sinema,S001191,412509,41.5,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-29,2018-10-31,False,kyrstensinema,115
2210,Kyrsten Sinema,S001191,412509,42.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-26,2018-11-01,False,kyrstensinema,115
2209,Kyrsten Sinema,S001191,412509,49.8,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-30,2018-11-01,False,kyrstensinema,115
2208,Kyrsten Sinema,S001191,412509,41.7,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-30,2018-11-01,False,kyrstensinema,115
2207,Kyrsten Sinema,S001191,412509,46.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-24,2018-11-02,False,kyrstensinema,115
2206,Kyrsten Sinema,S001191,412509,43.5,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-31,2018-11-02,False,kyrstensinema,115
2205,Kyrsten Sinema,S001191,412509,45.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-11-01,2018-11-03,False,kyrstensinema,115
2204,Kyrsten Sinema,S001191,412509,48.5,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-11-01,2018-11-03,False,kyrstensinema,115
2203,Kyrsten Sinema,S001191,412509,45.6,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-11-01,2018-11-03,False,kyrstensinema,115
2202,Kyrsten Sinema,S001191,412509,48.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-11-02,2018-11-03,False,kyrstensinema,115
2200,Kyrsten Sinema,S001191,412509,48.6,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-11-03,2018-11-05,False,kyrstensinema,115
2199,Kyrsten Sinema,S001191,412509,45.3,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-11-04,2018-11-05,False,kyrstensinema,115
2196,Rick Scott,S001217,412838,41.8,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2017-11-19,2017-11-24,False,rickscott,115
2195,Rick Scott,S001217,412838,39.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2017-12-19,2017-12-24,False,rickscott,115
2194,Rick Scott,S001217,412838,35.09,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-01-09,2018-01-10,False,rickscott,115
2227,Kyrsten Sinema,S001191,412509,45.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-22,2018-10-23,False,kyrstensinema,115
