rank_from_low,rank_from_high,percentile,bills-with-companion,id,bioguide_id,state,district,name
1,99,0,1,412554,H001069,ND,,b'Heitkamp'
1,99,0,1,300089,S000320,AL,,b'Shelby'
3,95,2,2,300023,C000567,MS,,b'Cochran'
3,95,2,2,300073,M000702,MD,,b'Mikulski'
3,95,2,2,412666,P000612,GA,,b'Perdue'
3,95,2,2,412669,R000605,SD,,b'Rounds'
7,89,6,3,412248,C001071,TN,,b'Corker'
7,89,6,3,412667,E000295,IA,,b'Ernst'
7,89,6,3,412243,M001170,MO,,b'McCaskill'
7,89,6,3,300072,M000355,KY,,b'McConnell'
7,89,6,3,412671,S001197,NE,,b'Sasse'
7,89,6,3,300088,S001141,AL,,b'Sessions'
13,87,12,4,300047,G000359,SC,,b'Graham'
13,87,12,4,412281,H001046,NM,,b'Heinrich'
15,81,14,5,412330,B001267,CO,,b'Bennet'
15,81,14,5,402675,C000542,IN,,b'Coats'
15,81,14,5,412205,D000607,IN,,b'Donnelly'
15,81,14,5,412494,H001061,ND,,b'Hoeven'
15,81,14,5,412391,M001183,WV,,b'Manchin'
15,81,14,5,412322,R000584,ID,,b'Risch'
21,75,20,6,300055,I000024,OK,,b'Inhofe'
21,75,20,6,412545,K000383,ME,,b'King'
21,75,20,6,412464,L000575,OK,,b'Lankford'
21,75,20,6,300082,R000146,NV,,b'Reid'
21,75,20,6,412665,S001198,AK,,b'Sullivan'
21,75,20,6,412321,W000805,VA,,b'Warner'
27,70,26,7,300019,C000174,DE,,b'Carper'
27,70,26,7,300030,C000880,ID,,b'Crapo'
27,70,26,7,412556,F000463,NE,,b'Fischer'
27,70,26,7,300093,S000770,MI,,b'Stabenow'
27,70,26,7,412668,T000476,NC,,b'Tillis'
32,63,31,8,400034,B000575,MO,,b'Blunt'
32,63,31,8,412508,C001095,AR,,b'Cotton'
32,63,31,8,412406,G000562,CO,,b'Gardner'
32,63,31,8,400194,I000055,GA,,b'Isakson'
32,63,31,8,412582,K000384,VA,,b'Kaine'
32,63,31,8,412305,P000595,MI,,b'Peters'
32,63,31,8,412471,S001184,SC,,b'Scott'
39,58,38,9,412390,C001088,DE,,b'Coons'
39,58,38,9,400134,F000444,AZ,,b'Flake'
39,58,38,9,412378,F000457,MN,,b'Franken'
39,58,38,9,412496,J000293,WI,,b'Johnson'
39,58,38,9,412507,S001194,HI,,b'Schatz'
44,50,43,10,412251,B001261,WY,,b'Barrasso'
44,50,43,10,400040,B001236,AR,,b'Boozman'
44,50,43,10,400061,C001047,WV,,b'Capito'
44,50,43,10,300025,C001035,ME,,b'Collins'
44,50,43,10,412495,L000577,UT,,b'Lee'
44,50,43,10,300083,R000307,KS,,b'Roberts'
44,50,43,10,412244,T000464,MT,,b'Tester'
44,50,43,10,400432,W000437,MS,,b'Wicker'
52,42,51,11,300002,A000360,TN,,b'Alexander'
52,42,51,11,412493,A000368,NH,,b'Ayotte'
52,42,51,11,412269,C001075,LA,,b'Cassidy'
52,42,51,11,412549,D000618,MT,,b'Daines'
52,42,51,11,300065,L000174,VT,,b'Leahy'
52,42,51,11,400284,M000934,KS,,b'Moran'
52,42,51,11,400546,T000250,SD,,b'Thune'
52,42,51,11,412542,W000817,MA,,b'Warren'
60,35,59,12,412598,B001288,NJ,,b'Booker'
60,35,59,12,400054,B001135,NC,,b'Burr'
60,35,59,12,412325,M001176,OR,,b'Merkley'
60,35,59,12,300081,R000122,RI,,b'Reed'
60,35,59,12,400357,S000033,VT,,b'Sanders'
60,35,59,12,300087,S000148,NY,,b'Schumer'
60,35,59,12,412247,W000802,RI,,b'Whitehouse'
67,32,66,13,300018,C000127,WA,,b'Cantwell'
67,32,66,13,300075,M001153,AK,,b'Murkowski'
67,32,66,13,400408,T000461,PA,,b'Toomey'
70,31,69,14,300041,E000285,WY,,b'Enzi'
71,29,70,15,412194,M001169,CT,,b'Murphy'
71,29,70,15,412492,P000603,KY,,b'Paul'
73,25,72,16,400013,B001230,WI,,b'Baldwin'
73,25,72,16,412490,B001277,CT,,b'Blumenthal'
73,25,72,16,412246,C001070,PA,,b'Casey'
73,25,72,16,400413,U000039,NM,,b'Udall'
77,20,76,17,412573,C001098,TX,,b'Cruz'
77,20,76,17,412223,G000555,NY,,b'Gillibrand'
77,20,76,17,300071,M000303,AZ,,b'McCain'
77,20,76,17,300078,N000032,FL,,b'Nelson'
77,20,76,17,412323,S001181,NH,,b'Shaheen'
82,16,81,18,412242,K000367,MN,,b'Klobuchar'
82,16,81,18,400272,M000639,NJ,,b'Menendez'
82,16,81,18,400325,P000449,OH,,b'Portman'
82,16,81,18,412491,R000595,FL,,b'Rubio'
86,13,85,19,412218,H001041,NV,,b'Heller'
86,13,85,19,412200,H001042,HI,,b'Hirono'
86,13,85,19,400253,M000133,MA,,b'Markey'
89,10,88,20,300011,B000711,CA,,b'Boxer'
89,10,88,20,400064,C000141,MD,,b'Cardin'
89,10,88,20,300076,M001111,WA,,b'Murray'
92,9,91,21,300043,F000062,CA,,b'Feinstein'
93,8,92,23,300038,D000563,IL,,b'Durbin'
94,7,93,24,400050,B000944,OH,,b'Brown'
95,6,94,25,300048,G000386,IA,,b'Grassley'
96,3,95,26,300027,C001056,TX,,b'Cornyn'
96,3,95,26,400418,V000127,LA,,b'Vitter'
96,3,95,26,300100,W000779,OR,,b'Wyden'
99,2,98,28,400222,K000360,IL,,b'Kirk'
100,1,99,40,300052,H000338,UT,,b'Hatch'
