rank_from_low,rank_from_high,percentile,cosponsors,id,bioguide_id,state,district,name
1,100,0,11,300089,S000320,AL,,b'Shelby'
2,99,1,15,412668,T000476,NC,,b'Tillis'
3,98,2,34,402675,C000542,IN,,b'Coats'
4,97,3,39,300023,C000567,MS,,b'Cochran'
5,96,4,46,412322,R000584,ID,,b'Risch'
6,94,5,48,412666,P000612,GA,,b'Perdue'
6,94,5,48,412669,R000605,SD,,b'Rounds'
8,93,7,64,400357,S000033,VT,,b'Sanders'
9,92,8,71,412665,S001198,AK,,b'Sullivan'
10,91,9,72,412545,K000383,ME,,b'King'
11,90,10,73,412205,D000607,IN,,b'Donnelly'
12,89,11,75,412281,H001046,NM,,b'Heinrich'
13,88,12,77,412671,S001197,NE,,b'Sasse'
14,87,13,79,412243,M001170,MO,,b'McCaskill'
15,86,14,80,412582,K000384,VA,,b'Kaine'
16,84,15,86,412464,L000575,OK,,b'Lankford'
16,84,15,86,412305,P000595,MI,,b'Peters'
18,83,17,92,412391,M001183,WV,,b'Manchin'
19,82,18,101,412330,B001267,CO,,b'Bennet'
20,81,19,107,412508,C001095,AR,,b'Cotton'
21,79,20,108,412549,D000618,MT,,b'Daines'
21,79,20,108,412194,M001169,CT,,b'Murphy'
23,78,22,132,300088,S001141,AL,,b'Sessions'
24,77,23,138,400061,C001047,WV,,b'Capito'
25,76,24,139,300047,G000359,SC,,b'Graham'
26,74,25,141,412406,G000562,CO,,b'Gardner'
26,74,25,141,412321,W000805,VA,,b'Warner'
28,73,27,146,300082,R000146,NV,,b'Reid'
29,72,28,150,412494,H001061,ND,,b'Hoeven'
30,71,29,153,300071,M000303,AZ,,b'McCain'
31,70,30,160,412667,E000295,IA,,b'Ernst'
32,69,31,163,412269,C001075,LA,,b'Cassidy'
33,68,32,175,412556,F000463,NE,,b'Fischer'
34,67,33,183,412390,C001088,DE,,b'Coons'
35,66,34,185,412542,W000817,MA,,b'Warren'
36,64,35,186,300073,M000702,MD,,b'Mikulski'
36,64,35,186,412507,S001194,HI,,b'Schatz'
38,63,37,189,412325,M001176,OR,,b'Merkley'
39,62,38,190,300075,M001153,AK,,b'Murkowski'
40,61,39,205,412573,C001098,TX,,b'Cruz'
41,60,40,210,300041,E000285,WY,,b'Enzi'
42,58,41,211,412492,P000603,KY,,b'Paul'
42,58,41,211,300087,S000148,NY,,b'Schumer'
44,57,43,212,400054,B001135,NC,,b'Burr'
45,56,44,216,412496,J000293,WI,,b'Johnson'
46,54,45,217,300083,R000307,KS,,b'Roberts'
46,54,45,217,300093,S000770,MI,,b'Stabenow'
48,52,47,218,412378,F000457,MN,,b'Franken'
48,52,47,218,300081,R000122,RI,,b'Reed'
50,51,49,219,400408,T000461,PA,,b'Toomey'
51,50,50,224,300055,I000024,OK,,b'Inhofe'
52,49,51,228,412218,H001041,NV,,b'Heller'
53,48,52,229,300018,C000127,WA,,b'Cantwell'
54,47,53,237,412244,T000464,MT,,b'Tester'
55,46,54,239,300030,C000880,ID,,b'Crapo'
56,45,55,242,400432,W000437,MS,,b'Wicker'
57,42,56,245,400040,B001236,AR,,b'Boozman'
57,42,56,245,300011,B000711,CA,,b'Boxer'
57,42,56,245,412247,W000802,RI,,b'Whitehouse'
60,41,59,250,400253,M000133,MA,,b'Markey'
61,40,60,256,300019,C000174,DE,,b'Carper'
62,38,61,257,412242,K000367,MN,,b'Klobuchar'
62,38,61,257,400413,U000039,NM,,b'Udall'
64,37,63,265,300065,L000174,VT,,b'Leahy'
65,36,64,269,412598,B001288,NJ,,b'Booker'
66,34,65,288,300038,D000563,IL,,b'Durbin'
66,34,65,288,400134,F000444,AZ,,b'Flake'
68,33,67,299,400013,B001230,WI,,b'Baldwin'
69,32,68,301,412471,S001184,SC,,b'Scott'
70,31,69,304,412248,C001071,TN,,b'Corker'
71,30,70,310,400194,I000055,GA,,b'Isakson'
72,29,71,316,412554,H001069,ND,,b'Heitkamp'
73,28,72,330,400284,M000934,KS,,b'Moran'
74,26,73,334,412251,B001261,WY,,b'Barrasso'
74,26,73,334,412495,L000577,UT,,b'Lee'
76,25,75,363,412491,R000595,FL,,b'Rubio'
77,24,76,367,412200,H001042,HI,,b'Hirono'
78,22,77,386,412493,A000368,NH,,b'Ayotte'
78,22,77,386,412223,G000555,NY,,b'Gillibrand'
80,21,79,395,400325,P000449,OH,,b'Portman'
81,20,80,408,400222,K000360,IL,,b'Kirk'
82,19,81,429,412246,C001070,PA,,b'Casey'
83,18,82,435,300078,N000032,FL,,b'Nelson'
84,17,83,439,400034,B000575,MO,,b'Blunt'
85,16,84,446,400546,T000250,SD,,b'Thune'
86,15,85,450,300025,C001035,ME,,b'Collins'
87,14,86,458,400418,V000127,LA,,b'Vitter'
88,13,87,465,412323,S001181,NH,,b'Shaheen'
89,12,88,470,300002,A000360,TN,,b'Alexander'
90,11,89,541,412490,B001277,CT,,b'Blumenthal'
91,10,90,542,300027,C001056,TX,,b'Cornyn'
92,9,91,552,300043,F000062,CA,,b'Feinstein'
93,8,92,558,400050,B000944,OH,,b'Brown'
94,7,93,560,300076,M001111,WA,,b'Murray'
95,6,94,587,400272,M000639,NJ,,b'Menendez'
96,5,95,619,300100,W000779,OR,,b'Wyden'
97,4,96,704,300052,H000338,UT,,b'Hatch'
98,3,97,711,400064,C000141,MD,,b'Cardin'
99,2,98,760,300048,G000386,IA,,b'Grassley'
100,1,99,989,300072,M000355,KY,,b'McConnell'
