rank_from_low,rank_from_high,percentile,cosponsored-other-party,id,bioguide_id,state,district,name
1,97,0,11.242603550295858,300041,E000285,WY,,b'Enzi'
2,96,1,15.277777777777779,412743,H001079,MS,,b'Hyde-Smith'
3,95,2,15.384615384615385,412495,L000577,UT,,b'Lee'
4,94,3,15.98360655737705,300055,I000024,OK,,b'Inhofe'
5,93,4,16.149068322981368,412251,B001261,WY,,b'Barrasso'
6,92,5,16.27906976744186,412671,S001197,NE,,b'Sasse'
7,91,6,16.901408450704224,300072,M000355,KY,,b'McConnell'
8,90,7,17.647058823529413,300089,S000320,AL,,b'Shelby'
9,89,8,17.77777777777778,412573,C001098,TX,,b'Cruz'
10,88,9,18.562874251497007,412556,F000463,NE,,b'Fischer'
11,87,10,18.695652173913043,412508,C001095,AR,,b'Cotton'
12,86,11,19.68503937007874,400134,F000444,AZ,,b'Flake'
13,85,12,19.696969696969695,412678,H001075,CA,,b'Harris'
14,84,13,20.123203285420946,412325,M001176,OR,,b'Merkley'
15,83,14,20.54054054054054,412464,L000575,OK,,b'Lankford'
16,82,15,20.58823529411765,412322,R000584,ID,,b'Risch'
17,81,16,21.08626198083067,300081,R000122,RI,,b'Reed'
18,80,18,21.346153846153847,412223,G000555,NY,,b'Gillibrand'
19,79,19,21.448467966573816,300076,M001111,WA,,b'Murray'
20,78,20,21.8978102189781,412742,S001203,MN,,b'Smith'
21,77,21,22.22222222222222,412248,C001071,TN,,b'Corker'
22,76,22,22.38095238095238,300083,R000307,KS,,b'Roberts'
23,75,23,22.82608695652174,400253,M000133,MA,,b'Markey'
24,73,24,22.97872340425532,412666,P000612,GA,,b'Perdue'
24,73,24,22.97872340425532,400415,V000128,MD,,b'Van Hollen'
26,71,26,23.076923076923077,412669,R000605,SD,,b'Rounds'
26,71,26,23.076923076923077,412471,S001184,SC,,b'Scott'
28,70,28,23.333333333333332,412496,J000293,WI,,b'Johnson'
29,69,29,23.39622641509434,300027,C001056,TX,,b'Cornyn'
30,68,30,23.58490566037736,412194,M001169,CT,,b'Murphy'
31,67,31,24.0,412667,E000295,IA,,b'Ernst'
32,66,32,24.123711340206185,300038,D000563,IL,,b'Durbin'
33,65,33,24.489795918367346,300030,C000880,ID,,b'Crapo'
34,64,34,24.836601307189543,400546,T000250,SD,,b'Thune'
35,63,35,24.937027707808564,412200,H001042,HI,,b'Hirono'
36,62,36,25.0,400040,B001236,AR,,b'Boozman'
37,61,37,26.31578947368421,412679,K000393,LA,,b'Kennedy'
38,60,38,26.394052044609666,400432,W000437,MS,,b'Wicker'
39,59,39,26.50602409638554,300052,H000338,UT,,b'Hatch'
40,58,40,26.656626506024097,412490,B001277,CT,,b'Blumenthal'
41,57,41,26.686217008797655,412681,C001113,NV,,b'Cortez Masto'
42,56,42,26.746506986027946,400050,B000944,OH,,b'Brown'
43,55,43,27.272727272727273,300019,C000174,DE,,b'Carper'
44,54,44,27.38589211618257,412549,D000618,MT,,b'Daines'
45,53,45,27.46615087040619,412598,B001288,NJ,,b'Booker'
46,52,46,27.553444180522565,300100,W000779,OR,,b'Wyden'
47,51,47,27.941176470588236,412665,S001198,AK,,b'Sullivan'
48,50,48,28.365384615384617,412269,C001075,LA,,b'Cassidy'
49,49,49,28.45528455284553,300002,A000360,TN,,b'Alexander'
50,48,51,28.625954198473284,412507,S001194,HI,,b'Schatz'
51,47,52,28.663793103448278,412247,W000802,RI,,b'Whitehouse'
52,46,53,28.68421052631579,400272,M000639,NJ,,b'Menendez'
53,45,54,28.775510204081634,300043,F000062,CA,,b'Feinstein'
54,44,55,28.78787878787879,412668,T000476,NC,,b'Tillis'
