rank_from_low,rank_from_high,percentile,cosponsored,id,bioguide_id,state,district,name
1,99,0,51,300089,S000320,AL,,b'Shelby'
2,98,1,71,300072,M000355,KY,,b'McConnell'
3,96,2,72,412248,C001071,TN,,b'Corker'
3,96,2,72,412743,H001079,MS,,b'Hyde-Smith'
5,95,4,86,412671,S001197,NE,,b'Sasse'
6,94,5,118,412492,P000603,KY,,b'Paul'
7,93,6,123,300002,A000360,TN,,b'Alexander'
8,92,7,124,400054,B001135,NC,,b'Burr'
9,91,8,127,400134,F000444,AZ,,b'Flake'
10,90,9,132,400408,T000461,PA,,b'Toomey'
11,89,10,143,412495,L000577,UT,,b'Lee'
12,88,11,150,412496,J000293,WI,,b'Johnson'
13,87,12,153,400546,T000250,SD,,b'Thune'
14,86,13,159,300047,G000359,SC,,b'Graham'
15,85,14,161,412251,B001261,WY,,b'Barrasso'
16,84,15,167,412556,F000463,NE,,b'Fischer'
17,83,16,169,300041,E000285,WY,,b'Enzi'
18,82,17,177,412494,H001061,ND,,b'Hoeven'
19,81,18,182,412471,S001184,SC,,b'Scott'
20,80,19,185,412464,L000575,OK,,b'Lankford'
21,79,20,188,412741,J000300,AL,,b'Jones'
22,78,21,196,300030,C000880,ID,,b'Crapo'
23,76,22,204,412322,R000584,ID,,b'Risch'
23,76,22,204,412665,S001198,AK,,b'Sullivan'
25,75,24,208,412269,C001075,LA,,b'Cassidy'
26,74,25,209,412679,K000393,LA,,b'Kennedy'
27,73,26,210,300083,R000307,KS,,b'Roberts'
28,72,27,218,412428,Y000064,IN,,b'Young'
29,70,28,219,300048,G000386,IA,,b'Grassley'
29,70,28,219,400284,M000934,KS,,b'Moran'
31,69,30,220,412321,W000805,VA,,b'Warner'
32,67,31,224,400194,I000055,GA,,b'Isakson'
32,67,31,224,300087,S000148,NY,,b'Schumer'
34,65,33,225,412573,C001098,TX,,b'Cruz'
34,65,33,225,412667,E000295,IA,,b'Ernst'
36,64,35,227,400325,P000449,OH,,b'Portman'
37,63,36,230,412508,C001095,AR,,b'Cotton'
38,62,37,235,412666,P000612,GA,,b'Perdue'
39,61,38,241,412549,D000618,MT,,b'Daines'
40,60,39,244,300055,I000024,OK,,b'Inhofe'
41,59,40,245,412205,D000607,IN,,b'Donnelly'
42,58,41,247,412669,R000605,SD,,b'Rounds'
43,57,42,249,300052,H000338,UT,,b'Hatch'
44,56,43,251,412218,H001041,NV,,b'Heller'
45,55,44,257,300075,M001153,AK,,b'Murkowski'
46,54,45,262,412507,S001194,HI,,b'Schatz'
47,53,46,264,412668,T000476,NC,,b'Tillis'
48,51,47,265,300027,C001056,TX,,b'Cornyn'
48,51,47,265,412243,M001170,MO,,b'McCaskill'
50,49,49,266,400034,B000575,MO,,b'Blunt'
50,49,49,266,300018,C000127,WA,,b'Cantwell'
52,48,52,269,400432,W000437,MS,,b'Wicker'
53,47,53,272,412406,G000562,CO,,b'Gardner'
54,46,54,274,412742,S001203,MN,,b'Smith'
55,45,55,275,412391,M001183,WV,,b'Manchin'
56,44,56,277,412554,H001069,ND,,b'Heitkamp'
57,43,57,280,400040,B001236,AR,,b'Boozman'
58,42,58,286,300019,C000174,DE,,b'Carper'
59,41,59,292,412281,H001046,NM,,b'Heinrich'
60,40,60,313,300081,R000122,RI,,b'Reed'
61,37,61,316,400061,C001047,WV,,b'Capito'
61,37,61,316,300065,L000174,VT,,b'Leahy'
61,37,61,316,400357,S000033,VT,,b'Sanders'
64,36,64,318,412194,M001169,CT,,b'Murphy'
65,35,65,322,400413,U000039,NM,,b'Udall'
66,34,66,334,412244,T000464,MT,,b'Tester'
67,33,67,335,412330,B001267,CO,,b'Bennet'
68,32,68,341,412681,C001113,NV,,b'Cortez Masto'
69,31,69,342,412582,K000384,VA,,b'Kaine'
70,30,70,355,300025,C001035,ME,,b'Collins'
71,29,71,359,300076,M001111,WA,,b'Murray'
72,28,72,365,300093,S000770,MI,,b'Stabenow'
73,27,73,374,400064,C000141,MD,,b'Cardin'
74,26,74,380,400272,M000639,NJ,,b'Menendez'
75,25,75,381,300078,N000032,FL,,b'Nelson'
76,23,76,390,412246,C001070,PA,,b'Casey'
76,23,76,390,412305,P000595,MI,,b'Peters'
78,22,78,396,412678,H001075,CA,,b'Harris'
79,21,79,397,412200,H001042,HI,,b'Hirono'
80,20,80,411,412533,D000622,IL,,b'Duckworth'
81,19,81,414,412545,K000383,ME,,b'King'
82,18,82,421,300100,W000779,OR,,b'Wyden'
83,17,83,424,412491,R000595,FL,,b'Rubio'
84,16,84,458,412323,S001181,NH,,b'Shaheen'
85,15,85,464,412247,W000802,RI,,b'Whitehouse'
86,14,86,470,400415,V000128,MD,,b'Van Hollen'
87,13,87,475,412680,H001076,NH,,b'Hassan'
88,12,88,485,300038,D000563,IL,,b'Durbin'
89,11,89,487,412325,M001176,OR,,b'Merkley'
90,10,90,490,300043,F000062,CA,,b'Feinstein'
91,9,91,501,400050,B000944,OH,,b'Brown'
92,7,92,517,412598,B001288,NJ,,b'Booker'
92,7,92,517,412390,C001088,DE,,b'Coons'
94,6,94,520,412223,G000555,NY,,b'Gillibrand'
95,5,95,546,400013,B001230,WI,,b'Baldwin'
96,4,96,552,400253,M000133,MA,,b'Markey'
97,3,97,591,412242,K000367,MN,,b'Klobuchar'
98,2,98,646,412542,W000817,MA,,b'Warren'
99,1,99,664,412490,B001277,CT,,b'Blumenthal'
