rank_from_low,rank_from_high,percentile,missed-votes,id,bioguide_id,state,district,name
1,100,0,0.0,456794,K000377,AZ,,b'Kelly'
2,92,1,0.139,412251,B001261,WY,,b'Barrasso'
2,92,1,0.139,400040,B001236,AR,,b'Boozman'
2,92,1,0.139,412246,C001070,PA,,b'Casey'
2,92,1,0.139,300025,C001035,ME,,b'Collins'
2,92,1,0.139,412545,K000383,ME,,b'King'
2,92,1,0.139,412464,L000575,OK,,b'Lankford'
2,92,1,0.139,300072,M000355,KY,,b'McConnell'
2,92,1,0.139,300087,S000148,NY,,b'Schumer'
10,88,9,0.278,412680,H001076,NH,,b'Hassan'
10,88,9,0.278,412305,P000595,MI,,b'Peters'
10,88,9,0.278,400415,V000128,MD,,b'Van Hollen'
10,88,9,0.278,400432,W000437,MS,,b'Wicker'
14,87,13,0.417,400013,B001230,WI,,b'Baldwin'
15,85,14,0.556,300081,R000122,RI,,b'Reed'
15,85,14,0.556,400546,T000250,SD,,b'Thune'
17,79,16,0.694,300019,C000174,DE,,b'Carper'
17,79,16,0.694,412681,C001113,NV,,b'Cortez Masto'
17,79,16,0.694,300030,C000880,ID,,b'Crapo'
17,79,16,0.694,412840,H001089,MO,,b'Hawley'
17,79,16,0.694,412194,M001169,CT,,b'Murphy'
17,79,16,0.694,412715,R000608,NV,,b'Rosen'
23,76,22,0.833,400272,M000639,NJ,,b'Menendez'
23,76,22,0.833,412325,M001176,OR,,b'Merkley'
23,76,22,0.833,300089,S000320,AL,,b'Shelby'
26,71,25,0.972,412839,B001310,IN,,b'Braun'
26,71,25,0.972,412508,C001095,AR,,b'Cotton'
26,71,25,0.972,412841,R000615,UT,,b'Romney'
26,71,25,0.972,412471,S001184,SC,,b'Scott'
26,71,25,0.972,412742,S001203,MN,,b'Smith'
31,68,30,1.111,412490,B001277,CT,,b'Blumenthal'
31,68,30,1.111,300027,C001056,TX,,b'Cornyn'
31,68,30,1.111,412323,S001181,NH,,b'Shaheen'
34,67,33,1.25,300018,C000127,WA,,b'Cantwell'
35,65,34,1.389,300043,F000062,CA,,b'Feinstein'
