rank_from_low,rank_from_high,percentile,leadership,id,bioguide_id,state,district,name
1,100,0,0.0,300089,S000320,AL,,b'Shelby'
2,99,1,0.09174700783491947,412841,R000615,UT,,b'Romney'
3,98,2,0.10508250786263776,412840,H001089,MO,,b'Hawley'
4,97,3,0.11104939612638683,456796,T000278,AL,,b'Tuberville'
5,96,4,0.1256862299224403,456797,H000273,CO,,b'Hickenlooper'
6,95,5,0.1583691449540962,412671,S001197,NE,,b'Sasse'
7,94,6,0.16004425672227787,412294,L000571,WY,,b'Lummis'
8,93,7,0.21019929020654235,456794,K000377,AZ,,b'Kelly'
9,92,8,0.21484985698440176,412555,C001096,ND,,b'Cramer'
10,91,9,0.24089269872245922,412743,H001079,MS,,b'Hyde-Smith'
11,90,10,0.24859521286261146,400034,B000575,MO,,b'Blunt'
12,89,11,0.2540078846365299,412496,J000293,WI,,b'Johnson'
13,88,12,0.25469225615810953,412494,H001061,ND,,b'Hoeven'
14,87,13,0.28049413324149813,300065,L000174,VT,,b'Leahy'
15,86,14,0.2805809753088759,412679,K000393,LA,,b'Kennedy'
16,85,15,0.30550023720718894,412492,P000603,KY,,b'Paul'
17,84,16,0.307459138376743,412556,F000463,NE,,b'Fischer'
18,83,17,0.32331691833493736,412330,B001267,CO,,b'Bennet'
19,82,18,0.3243374946962309,400408,T000461,PA,,b'Toomey'
20,81,19,0.3299810703271618,412668,T000476,NC,,b'Tillis'
21,80,20,0.3334772659811422,400357,S000033,VT,,b'Sanders'
22,79,21,0.3485236522363183,300055,I000024,OK,,b'Inhofe'
23,78,22,0.3501524473359708,456857,O000174,GA,,b'Ossoff'
24,77,23,0.3549127101581637,412464,L000575,OK,,b'Lankford'
25,76,24,0.35655683982009906,412509,S001191,AZ,,b'Sinema'
26,75,25,0.3617485697105711,300019,C000174,DE,,b'Carper'
27,74,26,0.36863497580847987,412508,C001095,AR,,b'Cotton'
28,73,27,0.3721107263025499,400054,B001135,NC,,b'Burr'
29,72,28,0.3967771135513346,412194,M001169,CT,,b'Murphy'
30,71,29,0.40831648153614786,412293,L000570,NM,,b'Luj\xc3\xa1n'
31,70,30,0.4146242831289305,412391,M001183,WV,,b'Manchin'
32,69,31,0.41639096508490636,412269,C001075,LA,,b'Cassidy'
33,68,32,0.41958803763334374,300018,C000127,WA,,b'Cantwell'
34,67,33,0.42085015898732475,412545,K000383,ME,,b'King'
35,66,34,0.42195750154725103,300047,G000359,SC,,b'Graham'
36,65,35,0.4283358858005691,300087,S000148,NY,,b'Schumer'
37,64,36,0.42978507360246604,400032,B001243,TN,,b'Blackburn'
38,63,37,0.431695183983784,412838,S001217,FL,,b'Scott'
39,62,38,0.4331416782330266,412305,P000595,MI,,b'Peters'
40,61,39,0.43471328128534203,412669,R000605,SD,,b'Rounds'
41,60,40,0.44864426087682974,456798,H000601,TN,,b'Hagerty'
42,59,41,0.45031656465211584,400061,C001047,WV,,b'Capito'
43,58,42,0.45855001435891424,412322,R000584,ID,,b'Risch'
44,57,43,0.46440398098222707,412665,S001198,AK,,b'Sullivan'
45,56,44,0.4739825489040532,412680,H001076,NH,,b'Hassan'
46,55,45,0.47760354778430947,300072,M000355,KY,,b'McConnell'
47,54,46,0.49459343448580667,400415,V000128,MD,,b'Van Hollen'
48,53,47,0.4952012911950534,412704,M001198,KS,,b'Marshall'
49,52,48,0.49809535770107943,300081,R000122,RI,,b'Reed'
50,51,49,0.4996419499947135,456856,P000145,CA,,b'Padilla'
51,50,50,0.5003580061297092,412573,C001098,TX,,b'Cruz'
52,49,51,0.5063544313978285,412281,H001046,NM,,b'Heinrich'
53,48,52,0.5182737227108749,300030,C000880,ID,,b'Crapo'
54,47,53,0.5248321511804779,400432,W000437,MS,,b'Wicker'
