index,Age,Gender,Emotion,Race,Valence,Normalized_Valence,Weighted_Valence
John Fetterman senator,34.666666666666664,"[{'Woman': 0.0004268953034625156, 'Man': 99.99957084655762}, {'Woman': 0.10432900162413716, 'Man': 99.89566802978516}, {'Woman': 0.018885488680098206, 'Man': 99.98111128807068}, {'Woman': 0.006847796612419188, 'Man': 99.99315738677979}, {'Woman': 0.012319728557486087, 'Man': 99.98767375946045}, {'Woman': 0.003176811878802255, 'Man': 99.99682903289795}]","['sad', 'angry', 'sad', 'sad', 'fear', 'sad']","['middle eastern', 'latino hispanic', 'white', 'middle eastern', 'white', 'middle eastern']","[-95.08254092891661, -99.87983859033076, -99.98776795931336, -94.9819611152634, -98.82188162300736, -94.78087116258394]","[-0.8734943899974041, -0.9966211081774917, -0.9998773302682955, 1.002841591835022, -0.6081844726577401, -0.8456861101294635]","[-38.017393943426896, -39.951495582046284, -39.995107113154674, -37.598307435400784, -39.451978034339845, -37.89171763644845]"
John Barrasso senator,"[34, 50, 23, 47, 31, 25]","[{'Woman': 0.0037602225347654894, 'Man': 99.99624490737915}, {'Woman': 1.2269611470401287, 'Man': 98.77304434776306}, {'Woman': 3.0090106651186943, 'Man': 96.99099063873291}, {'Woman': 0.013679363473784178, 'Man': 99.98631477355957}, {'Woman': 0.01094359322451055, 'Man': 99.98905658721924}, {'Woman': 18.97696852684021, 'Man': 81.02303147315979}]","['happy', 'fear', 'fear', 'surprise', 'happy', 'fear']","['latino hispanic', 'white', 'white', 'white', 'latino hispanic', 'white']","[98.30227578671611, -84.65947463992052, -99.98666686780317, 37.80338945869062, 97.88507744913572, -85.30404616571249]","[98.30297586500444, 6.675019894493744, -0.9962161413210807, 68.59070603582563, 97.88507810915446, -0.8488855795418218]","[58.981506901986904, -32.344271746696904, -39.99392926684713, 28.9016935897871, 58.73104660281855, -34.120779096160696]"
Patrick J. Leahy senator,"[39, 56, 44, 55, 37, 46, 45]","[{'Woman': 0.24125000927597284, 'Man': 99.75875616073608}, {'Woman': 0.04466651880647987, 'Man': 99.95532631874084}, {'Woman': 0.14168262714520097, 'Man': 99.8583197593689}, {'Woman': 0.16498364275321364, 'Man': 99.83501434326172}, {'Woman': 0.06761279073543847, 'Man': 99.9323844909668}, {'Woman': 0.05079620750620961, 'Man': 99.94920492172241}, {'Woman': 0.5947887897491455, 'Man': 99.40521121025085}]","['happy', 'sad', 'happy', 'sad', 'happy', 'neutral', 'sad']","['white', 'white', 'white', 'white', 'white', 'white', 'white']","[97.5329801641732, -99.88916905433764, 22.95827847028135, -71.4636052493006, 71.55258209501882, -50.95963387183525, -92.52983701499033]","[97.53313494833485, -0.9581205932638274, 60.27922105631572, 0.013515068218111992, 72.64620612338855, 2.1269428782391775, -0.9055798825793318]","[58.51981936803151, -39.94743103642606, 21.314551442983834, -28.438340863212943, 43.15248340415669, -19.85121936349016, -37.007951273153594]"
Edward J. Markey senator,"[66, 55, 54, 38, 32, 46, 49]","[{'Woman': 0.1553345355205238, 'Man': 99.84466433525085}, {'Woman': 0.007057806215016171, 'Man': 99.9929428100586}, {'Woman': 0.012375303776934743, 'Man': 99.98762607574463}, {'Woman': 0.004289325079298578, 'Man': 99.99570846557617}, {'Woman': 1.7116222530603409, 'Man': 98.28837513923645}, {'Woman': 0.16235049115493894, 'Man': 99.83764886856079}, {'Woman': 0.4123047925531864, 'Man': 99.58769083023071}]","['fear', 'happy', 'happy', 'happy', 'fear', 'happy', 'angry']","['white', 'white', 'white', 'latino hispanic', 'white', 'latino hispanic', 'white']","[-97.6732813763339, 96.04915854055861, 91.92546817752832, 97.65548350499145, -55.64404835585779, 99.19714900514231, -20.498351519927382]","[-0.004527235673501218, 97.4385604881436, 94.51641132273375, 97.72700574303181, 0.538443016553954, 99.19715141559311, 38.632857501041144]","[-38.87290738324269, 57.910182386473544, 55.67870376413425, 58.60773903997272, -22.036430756461797, 59.51828989004514, -0.3533121198415756]"
Susan M. Collins senator,"[51, 50, 39, 46, 58, 49, 49]","[{'Woman': 0.8582871407270432, 'Man': 99.14171099662781}, {'Woman': 99.96302127838135, 'Man': 0.03697986248880625}, {'Woman': 99.980229139328, 'Man': 0.01976829516934231}, {'Woman': 99.85566735267639, 'Man': 0.14433105243369937}, {'Woman': 99.78182315826416, 'Man': 0.21817300003021955}, {'Woman': 3.6923591047525406, 'Man': 96.30763530731201}, {'Woman': 99.75608587265015, 'Man': 0.24391866754740477}]","['sad', 'happy', 'happy', 'fear', 'fear', 'fear', 'happy']","['white', 'white', 'white', 'asian', 'asian', 'white', 'white']","[-92.24865397956417, 99.04148271996985, 81.89309011650039, -37.9065896859595, -91.05720573074899, -13.997570246747706, 83.85430857695243]","[-0.8504069546111536, 99.42941030497408, 89.99297140918497, 27.87528215909196, 3.093333623421654, 36.5066943868465, 91.66911506729514]","[-36.88490005946517, 59.50325884107367, 50.77219372498803, -9.454686772171367, -35.61401245780886, 1.80433959611182, 51.891333932099286]"
Tammy Duckworth senator,"[35, 32, 36, 38, 41, 37, 29]","[{'Woman': 99.7893750667572, 'Man': 0.21062835585325956}, {'Woman': 99.99934434890747, 'Man': 0.0006577134627150372}, {'Woman': 23.967912793159485, 'Man': 76.03208422660828}, {'Woman': 98.8610565662384, 'Man': 1.1389362625777721}, {'Woman': 99.99977350234985, 'Man': 0.00022881549739395268}, {'Woman': 99.99943971633911, 'Man': 0.0005589410193351796}, {'Woman': 10.981179028749466, 'Man': 89.01881575584412}]","['happy', 'happy', 'neutral', 'surprise', 'happy', 'happy', 'neutral']","['asian', 'asian', 'white', 'white', 'asian', 'asian', 'latino hispanic']","[99.57626661968256, 99.96387294183788, 3.1696668060217625, 89.33552026445302, 99.91801347588861, 99.9963345821204, 24.061623328265977]","[99.5766201963756, 99.96387445351915, 5.20715858703144, 94.5467215308216, 99.92224565216476, 99.99633458233554, 24.528901980476025]","[59.74583140144449, 59.97832407049288, 2.3134145848271332, 54.654080091271524, 59.95166307063946, 59.9978007493157, 14.531373724678787]"
Mark R. Warner senator,"[26, 47, 26, 40, 48, 49, 38, 38, 49]","[{'Woman': 0.005104551019030623, 'Man': 99.99489784240723}, {'Woman': 0.022888238891027868, 'Man': 99.97711777687073}, {'Woman': 0.002610633055155631, 'Man': 99.99738931655884}, {'Woman': 0.002708849024202209, 'Man': 99.9972939491272}, {'Woman': 0.03552302659954876, 'Man': 99.96447563171387}, {'Woman': 0.04863633948843926, 'Man': 99.95136260986328}, {'Woman': 0.011309678666293621, 'Man': 99.98868703842163}, {'Woman': 0.013286000466905534, 'Man': 99.98670816421509}, {'Woman': 0.034942879574373364, 'Man': 99.96505975723267}]","['happy', 'neutral', 'happy', 'happy', 'angry', 'neutral', 'happy', 'angry', 'angry']","['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white']","[98.32368533388944, -59.98083660379052, 99.45093668062947, 82.8704117563575, -91.04547143579111, -3.881701291281978, 99.96023976907509, -96.2369600078091, -51.63961946964264]","[98.55413905816386, 2.086376529186964, 99.47870862558756, 83.18050132973804, -0.8451817691384349, 0.4777787507160462, 99.96827366820594, 0.3992142982315272, 22.381381437182426]","[59.04076750826789, -23.449671026319265, 59.67617250230861, 49.78489141207319, -36.405002120736754, -1.4483177359817072, 59.97776687137048, -38.21971654891968, -16.030034124851227]"
Thomas R. Carper senator,"[31, 35, 52, 34, 40, 41, 52]","[{'Woman': 0.0090700967120938, 'Man': 99.99092817306519}, {'Woman': 0.024361720716115087, 'Man': 99.9756395816803}, {'Woman': 0.016119590145535767, 'Man': 99.98388290405273}, {'Woman': 0.0023701824829913676, 'Man': 99.99762773513794}, {'Woman': 0.03213899617549032, 'Man': 99.96786117553711}, {'Woman': 0.001197332858282607, 'Man': 99.99880790710449}, {'Woman': 0.020475374185480177, 'Man': 99.97952580451965}]","['sad', 'happy', 'happy', 'happy', 'sad', 'neutral', 'sad']","['white', 'white', 'white', 'white', 'white', 'white', 'white']","[-99.48564272744989, 98.95632848902001, 76.4894460863458, 98.7210365501886, -72.741908278557, -7.283769390778616, -98.22370603678877]","[-0.9840713925514137, 98.95632866400729, 76.55503414945727, 98.72778435376001, 8.951738624027843, 0.09512956091202796, -0.9365630037909257]","[-39.7920782960864, 59.373797128762966, 45.90691776556737, 59.23398512275384, -27.14137791610696, -2.879574977559969, -39.28025533257875]"
Sheldon Whitehouse senator,"[26, 47, 38, 51, 50, 39, 34, 43]","[{'Woman': 0.0008884384442353621, 'Man': 99.99910593032837}, {'Woman': 0.000312311726702319, 'Man': 99.99969005584717}, {'Woman': 0.004522188100963831, 'Man': 99.99548196792603}, {'Woman': 0.009800347470445558, 'Man': 99.99020099639893}, {'Woman': 0.003016375922015868, 'Man': 99.99698400497437}, {'Woman': 0.009735035564517602, 'Man': 99.9902606010437}, {'Woman': 0.02807696000672877, 'Man': 99.97192025184631}, {'Woman': 0.06917676073499024, 'Man': 99.93082284927368}]","['neutral', 'sad', 'sad', 'angry', 'sad', 'sad', 'angry', 'neutral']","['white', 'white', 'asian', 'latino hispanic', 'latino hispanic', 'latino hispanic', 'white', 'white']","[11.85475367466382, -72.13569225277752, -95.92391901021546, -99.94623225078385, -67.6543034351198, -54.39027957567553, -93.6157102463767, -44.013077598356176]","[22.398916051751584, -0.46064750757068396, -0.9592192177726204, -0.9854814511577388, -0.4525364114670083, -0.03357640355618641, 0.6242523724213243, -0.39818757522152737]","[9.242986018351374, -28.801608332432806, -38.36956356927214, -39.975668481858975, -27.016467510838993, -21.653015589421617, -37.131049861200154, -17.59675766545115]"
Joe Donnelly senator,"[47, 46, 44, 46, 51, 36]","[{'Woman': 0.003559862670954317, 'Man': 99.99643564224243}, {'Woman': 0.012834575318265706, 'Man': 99.98716115951538}, {'Woman': 0.012730617891065776, 'Man': 99.98726844787598}, {'Woman': 0.01992623438127339, 'Man': 99.98007416725159}, {'Woman': 0.000813782935438212, 'Man': 99.99918937683105}, {'Woman': 0.01727454218780622, 'Man': 99.98273253440857}]","['happy', 'happy', 'sad', 'happy', 'neutral', 'sad']","['latino hispanic', 'latino hispanic', 'latino hispanic', 'latino hispanic', 'asian', 'asian']","[99.95338071381781, 99.86248373288333, -95.31771028352257, 88.70908530010512, -41.045746325447936, -91.20235659551112]","[99.95370011332625, 99.86256694499241, -0.30079351505118435, 88.90941324811075, 0.4171429720680696, -0.9061213107812056]","[59.972092953443905, 59.917507050257086, -37.99528944921023, 53.26592147258946, -16.25110652304331, -36.47975026342184]"
