,Senator,Age,Gender,Emotion (Majority),Race (Majority),Valence_m,Normalized_Valence_m,Weighted_Valence_m
0,John Fetterman ,34.666666666666664,"[{'Woman': 0.0004268953034625156, 'Man': 99.99957084655762}, {'Woman': 0.10432900162413716, 'Man': 99.89566802978516}, {'Woman': 0.018885488680098206, 'Man': 99.98111128807068}, {'Woman': 0.006847796612419188, 'Man': 99.99315738677979}, {'Woman': 0.012319728557486087, 'Man': 99.98767375946045}, {'Woman': 0.003176811878802255, 'Man': 99.99682903289795}]",sad,middle eastern,-97.25581022990256,-0.5535036365658955,-38.81766662413616
1,John Barrasso ,"[34, 50, 23, 47, 31, 25]","[{'Woman': 0.0037602225347654894, 'Man': 99.99624490737915}, {'Woman': 1.2269611470401287, 'Man': 98.77304434776306}, {'Woman': 3.0090106651186943, 'Man': 96.99099063873291}, {'Woman': 0.013679363473784178, 'Man': 99.98631477355957}, {'Woman': 0.01094359322451055, 'Man': 99.98905658721924}, {'Woman': 18.97696852684021, 'Man': 81.02303147315979}]",fear,white,-5.993240829815622,44.93477969726922,6.692544497481304
2,Patrick J. Leahy ,"[39, 56, 44, 55, 37, 46, 45]","[{'Woman': 0.24125000927597284, 'Man': 99.75875616073608}, {'Woman': 0.04466651880647987, 'Man': 99.95532631874084}, {'Woman': 0.14168262714520097, 'Man': 99.8583197593689}, {'Woman': 0.16498364275321364, 'Man': 99.83501434326172}, {'Woman': 0.06761279073543847, 'Man': 99.9323844909668}, {'Woman': 0.05079620750620961, 'Man': 99.94920492172241}, {'Woman': 0.5947887897491455, 'Man': 99.40521121025085}]",sad,white,-17.542629208712924,32.96218851409332,-0.3225840458729599
3,Edward J. Markey ,"[66, 55, 54, 38, 32, 46, 49]","[{'Woman': 0.1553345355205238, 'Man': 99.84466433525085}, {'Woman': 0.007057806215016171, 'Man': 99.9929428100586}, {'Woman': 0.012375303776934743, 'Man': 99.98762607574463}, {'Woman': 0.004289325079298578, 'Man': 99.99570846557617}, {'Woman': 1.7116222530603409, 'Man': 98.28837513923645}, {'Woman': 0.16235049115493894, 'Man': 99.83764886856079}, {'Woman': 0.4123047925531864, 'Man': 99.58769083023071}]",happy,white,30.14451113944309,61.149414607346266,24.350323545868516
4,Susan M. Collins ,"[51, 50, 39, 46, 58, 49, 49]","[{'Woman': 0.8582871407270432, 'Man': 99.14171099662781}, {'Woman': 99.96302127838135, 'Man': 0.03697986248880625}, {'Woman': 99.980229139328, 'Man': 0.01976829516934231}, {'Woman': 99.85566735267639, 'Man': 0.14433105243369937}, {'Woman': 99.78182315826416, 'Man': 0.21817300003021955}, {'Woman': 3.6923591047525406, 'Man': 96.30763530731201}, {'Woman': 99.75608587265015, 'Man': 0.24391866754740477}]",happy,white,4.225551681486044,49.67377142802902,11.71678954354677
5,Tammy Duckworth ,"[35, 32, 36, 38, 41, 37, 29]","[{'Woman': 99.7893750667572, 'Man': 0.21062835585325956}, {'Woman': 99.99934434890747, 'Man': 0.0006577134627150372}, {'Woman': 23.967912793159485, 'Man': 76.03208422660828}, {'Woman': 98.8610565662384, 'Man': 1.1389362625777721}, {'Woman': 99.99977350234985, 'Man': 0.00022881549739395268}, {'Woman': 99.99943971633911, 'Man': 0.0005589410193351796}, {'Woman': 10.981179028749466, 'Man': 89.01881575584412}]",happy,asian,73.71732828832432,74.8202652832463,44.45321252752428
6,Mark R. Warner ,"[26, 47, 26, 40, 48, 49, 38, 38, 49]","[{'Woman': 0.005104551019030623, 'Man': 99.99489784240723}, {'Woman': 0.022888238891027868, 'Man': 99.97711777687073}, {'Woman': 0.002610633055155631, 'Man': 99.99738931655884}, {'Woman': 0.002708849024202209, 'Man': 99.9972939491272}, {'Woman': 0.03552302659954876, 'Man': 99.96447563171387}, {'Woman': 0.04863633948843926, 'Man': 99.95136260986328}, {'Woman': 0.011309678666293621, 'Man': 99.98868703842163}, {'Woman': 0.013286000466905534, 'Man': 99.98670816421509}, {'Woman': 0.034942879574373364, 'Man': 99.96505975723267}]",happy,white,8.646742747959571,45.07568799198599,12.547428526356839
7,Thomas R. Carper ,"[31, 35, 52, 34, 40, 41, 52]","[{'Woman': 0.0090700967120938, 'Man': 99.99092817306519}, {'Woman': 0.024361720716115087, 'Man': 99.9756395816803}, {'Woman': 0.016119590145535767, 'Man': 99.98388290405273}, {'Woman': 0.0023701824829913676, 'Man': 99.99762773513794}, {'Woman': 0.03213899617549032, 'Man': 99.96786117553711}, {'Woman': 0.001197332858282607, 'Man': 99.99880790710449}, {'Woman': 0.020475374185480177, 'Man': 99.97952580451965}]",sad,white,-0.509745044002839,40.1950544222603,7.917344784964586
8,Sheldon Whitehouse ,"[26, 47, 38, 51, 50, 39, 34, 43]","[{'Woman': 0.0008884384442353621, 'Man': 99.99910593032837}, {'Woman': 0.000312311726702319, 'Man': 99.99969005584717}, {'Woman': 0.004522188100963831, 'Man': 99.99548196792603}, {'Woman': 0.009800347470445558, 'Man': 99.99020099639893}, {'Woman': 0.003016375922015868, 'Man': 99.99698400497437}, {'Woman': 0.009735035564517602, 'Man': 99.9902606010437}, {'Woman': 0.02807696000672877, 'Man': 99.97192025184631}, {'Woman': 0.06917676073499024, 'Man': 99.93082284927368}]",sad,white,-64.47805758683015,2.466689982178393,-25.162643124015556
9,Joe Donnelly ,"[47, 46, 44, 46, 51, 36]","[{'Woman': 0.003559862670954317, 'Man': 99.99643564224243}, {'Woman': 0.012834575318265706, 'Man': 99.98716115951538}, {'Woman': 0.012730617891065776, 'Man': 99.98726844787598}, {'Woman': 0.01992623438127339, 'Man': 99.98007416725159}, {'Woman': 0.000813782935438212, 'Man': 99.99918937683105}, {'Woman': 0.01727454218780622, 'Man': 99.98273253440857}]",happy,latino hispanic,10.159856090387438,47.989318075444174,13.738229206769176
