poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,party,answer,candidate_id,candidate_name,pct
86496,1102,Emerson,960,The Hill,Emerson College,88,Emerson College,A-,IVR/Online Panel/Email,7.0,Arizona,3/12/24,3/15/24,,"",,,"",,194795,1000,rv,,rv,,3/20/24 10:52,"",https://emersoncollegepolling.com/arizona-2024-poll-trump-48-biden-44/,"",,,9505,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Gallego,30920,Ruben Gallego,50.6
86496,1102,Emerson,960,The Hill,Emerson College,88,Emerson College,A-,IVR/Online Panel/Email,7.0,Arizona,3/12/24,3/15/24,,"",,,"",,194795,1000,rv,,rv,,3/20/24 10:52,"",https://emersoncollegepolling.com/arizona-2024-poll-trump-48-biden-44/,"",,,9505,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Lake,30921,Kari Lake,49.4
86497,1102,Emerson,"835,960",KLAS-TV Las Vegas | The Hill,Emerson College,88,Emerson College,A-,IVR/Online Panel/Email,7.0,Nevada,3/12/24,3/15/24,,"",,,"",,194796,1000,rv,,rv,,3/20/24 10:52,"",https://emersoncollegepolling.com/nevada-2024-poll-trump-44-biden-41/,"",,,9521,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Rosen,31010,Jacky Rosen,40.6
86497,1102,Emerson,"835,960",KLAS-TV Las Vegas | The Hill,Emerson College,88,Emerson College,A-,IVR/Online Panel/Email,7.0,Nevada,3/12/24,3/15/24,,"",,,"",,194796,1000,rv,,rv,,3/20/24 10:52,"",https://emersoncollegepolling.com/nevada-2024-poll-trump-44-biden-41/,"",,,9521,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Brown,31105,Sam Brown,39.0
86497,1102,Emerson,"835,960",KLAS-TV Las Vegas | The Hill,Emerson College,88,Emerson College,A-,IVR/Online Panel/Email,7.0,Nevada,3/12/24,3/15/24,,"",,,"",,194797,1000,rv,,rv,,3/20/24 10:53,"",https://emersoncollegepolling.com/nevada-2024-poll-trump-44-biden-41/,"",,,9521,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Rosen,31010,Jacky Rosen,43.1
86497,1102,Emerson,"835,960",KLAS-TV Las Vegas | The Hill,Emerson College,88,Emerson College,A-,IVR/Online Panel/Email,7.0,Nevada,3/12/24,3/15/24,,"",,,"",,194797,1000,rv,,rv,,3/20/24 10:53,"",https://emersoncollegepolling.com/nevada-2024-poll-trump-44-biden-41/,"",,,9521,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Gunter,31356,Jeffrey Ross Gunter,33.6
86497,1102,Emerson,"835,960",KLAS-TV Las Vegas | The Hill,Emerson College,88,Emerson College,A-,IVR/Online Panel/Email,7.0,Nevada,3/12/24,3/15/24,,"",,,"",,194798,1000,rv,,rv,,3/20/24 10:53,"",https://emersoncollegepolling.com/nevada-2024-poll-trump-44-biden-41/,"",,,9521,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Rosen,31010,Jacky Rosen,44.2
86497,1102,Emerson,"835,960",KLAS-TV Las Vegas | The Hill,Emerson College,88,Emerson College,A-,IVR/Online Panel/Email,7.0,Nevada,3/12/24,3/15/24,,"",,,"",,194798,1000,rv,,rv,,3/20/24 10:53,"",https://emersoncollegepolling.com/nevada-2024-poll-trump-44-biden-41/,"",,,9521,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Marchant,31012,James Carl Marchant,34.1
86478,1801,Florida Atlantic University/Mainstreet Research,"","",Florida Atlantic University Political Communication and Public Opinion Research Lab/Mainstreet Research,770,Florida Atlantic University Political Communication and Public Opinion Research Lab/Mainstreet Research,,IVR/Text-to-Web,6.0,Ohio,3/13/24,3/13/24,,"",,,"",,194698,705,lv,,lv,,3/16/24 14:30,"",https://www.faupolling.com/march162024/,"",,,9526,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Brown,31033,Sherrod Brown,45.4
86478,1801,Florida Atlantic University/Mainstreet Research,"","",Florida Atlantic University Political Communication and Public Opinion Research Lab/Mainstreet Research,770,Florida Atlantic University Political Communication and Public Opinion Research Lab/Mainstreet Research,,IVR/Text-to-Web,6.0,Ohio,3/13/24,3/13/24,,"",,,"",,194698,705,lv,,lv,,3/16/24 14:30,"",https://www.faupolling.com/march162024/,"",,,9526,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Dolan,31034,Matthew J. Dolan,41.5
