full_name,pct,birthday,gender,party,senate_class,stage,cycle,start_date,end_date,age,Emotion (Majority),Race (Majority),Valence (Mean)
amy klobuchar,54.0,1960-05-25,F,Democrat,1.0,general,2018,2018-10-15,2018-10-30,64,happy,white,26.80534018117629
benjamin l. cardin,56.0,1943-10-05,M,Democrat,1.0,general,2018,2018-09-11,2018-09-16,81,angry,white,0.5169637530488529
bernard sanders,75.0,1941-09-08,M,Independent,1.0,general,2018,2018-09-23,2018-09-26,83,happy,white,10.594323282770713
bill cassidy,52.0,1957-09-28,M,Republican,2.0,runoff,2020,2020-08-06,2020-08-12,67,neutral,white,-3.6262515459061526
bill hagerty,55.0,1959-08-14,M,Republican,2.0,general,2020,2020-01-28,2020-01-30,65,happy,asian,34.399512664827704
bill nelson,40.6,1942-09-29,M,Democrat,1.0,general,2018,2018-10-18,2018-10-21,82,happy,white,60.46165978363185
charles e. schumer,56.0,1950-11-23,M,Democrat,3.0,general,2022,2022-07-24,2022-07-28,74,happy,white,30.037539427004926
christopher a. coons,57.0,1963-09-09,M,Democrat,2.0,general,2020,2020-09-21,2020-09-27,61,neutral,white,-22.56037820727488
christopher murphy,56.0,1973-08-03,M,Democrat,1.0,general,2018,2018-10-22,2018-10-28,51,neutral,white,36.546874483254975
cindy hyde-smith,53.0,1959-05-10,F,Republican,2.0,general,2020,2020-02-26,2020-02-28,65,happy,white,37.55366501088453
claire mccaskill,44.0,1953-07-24,F,Democrat,1.0,general,2018,2017-07-07,2017-07-08,71,happy,white,37.82030643630891
cory a. booker,55.0,1969-04-27,M,Democrat,2.0,general,2020,2020-04-16,2020-04-19,55,sad,black,-25.862446014386386
cory gardner,39.0,1974-08-22,M,Republican,2.0,general,2020,2020-10-12,2020-10-16,50,happy,white,8.173778885984957
cynthia m. lummis,56.0,1954-09-10,F,Republican,2.0,general,2020,2020-10-08,2020-10-28,70,happy,white,73.71523732754788
dan sullivan,39.0,1964-11-13,M,Republican,2.0,general,2020,2019-05-28,2019-06-04,60,sad,white,-60.4136763966063
david perdue,48.0,1949-12-10,M,Republican,2.0,general,2020,2020-10-23,2020-10-27,75,happy,white,4.654623573088737
dean heller,43.0,1960-05-10,M,Republican,1.0,general,2018,2018-08-20,2018-08-21,64,sad,white,-29.753429978299987
deb fischer,42.0,1951-03-01,F,Republican,1.0,general,2018,2017-11-10,2017-11-12,73,happy,white,71.39274896922947
debbie stabenow,52.0,1950-04-29,F,Democrat,1.0,general,2018,2018-11-01,2018-11-03,74,happy,white,70.94527648897927
dianne feinstein,40.0,1933-06-22,F,Democrat,1.0,general,2018,2018-09-09,2018-09-18,91,neutral,white,-38.11519955639624
edward j. markey,65.0,1946-07-11,M,Democrat,2.0,general,2020,2020-10-14,2020-10-21,78,happy,white,40.26237904606963
elizabeth warren,54.0,1949-06-22,F,Democrat,1.0,general,2018,2018-10-25,2018-10-28,75,happy,white,20.429168730235908
