Senator,Age,Emotion,Race,Val1,Val2,Val3,pct,Gender
amy_klobuchar,36,sad,white,-0.099,-0.198,-0.297,54.0,Woman
amy_klobuchar,38,sad,white,-0.07,-0.134,-0.174,50.2,Woman
amy_klobuchar,32,happy,white,0.396,0.297,0.495,60.0,Woman
amy_klobuchar,24,happy,white,0.396,0.297,0.495,63.0,Woman
amy_klobuchar,42,happy,white,0.396,0.297,0.495,62.0,Woman
amy_klobuchar,36,happy,white,0.396,0.297,0.495,60.0,Woman
amy_klobuchar,36,happy,white,0.374,0.278,0.468,53.6,Woman
amy_klobuchar,38,sad,white,-0.07,-0.134,-0.174,59.0,Woman
amy_klobuchar,36,happy,white,0.396,0.297,0.495,53.0,Woman
amy_klobuchar,41,fear,white,-0.053,-0.15,-0.097,49.0,Woman
amy_klobuchar,37,happy,white,0.392,0.294,0.49,50.0,Woman
amy_klobuchar,36,happy,white,0.346,0.252,0.43,56.0,Woman
benjamin_l._cardin,56,happy,asian,0.396,0.297,0.495,53.6,Man
benjamin_l._cardin,61,happy,asian,0.396,0.297,0.495,59.0,Man
benjamin_l._cardin,50,happy,asian,0.396,0.297,0.495,53.0,Man
benjamin_l._cardin,50,happy,asian,0.396,0.297,0.495,49.0,Man
benjamin_l._cardin,44,angry,white,0.03,-0.069,0.129,50.0,Man
benjamin_l._cardin,41,angry,asian,-0.109,-0.174,-0.099,56.0,Man
benjamin_l._cardin,32,sad,white,-0.099,-0.198,-0.287,57.0,Man
benjamin_l._cardin,39,happy,white,0.368,0.276,0.46,53.0,Man
benjamin_l._cardin,39,sad,white,0.022,-0.049,-0.057,55.0,Man
benjamin_l._cardin,54,angry,white,-0.1,-0.161,-0.097,56.0,Man
benjamin_l._cardin,48,fear,white,-0.059,-0.155,-0.05,49.4,Man
benjamin_l._cardin,54,angry,white,-0.162,-0.256,-0.11,53.6,Man
benjamin_l._cardin,51,happy,asian,0.317,0.223,0.398,59.0,Man
bernard_sanders,49,fear,white,-0.105,-0.202,-0.169,60.0,Man
bernard_sanders,27,fear,white,-0.098,-0.196,-0.13,75.0,Man
bernard_sanders,39,happy,white,0.392,0.294,0.49,66.0,Man
bernard_sanders,39,happy,white,0.392,0.294,0.49,60.0,Man
bernard_sanders,27,fear,white,-0.098,-0.196,-0.13,75.0,Man
bernard_sanders,39,happy,white,0.104,0.024,0.184,66.0,Man
bernard_sanders,54,angry,white,-0.13,-0.213,-0.133,60.0,Man
bernard_sanders,36,fear,white,-0.054,-0.108,-0.054,75.0,Man
bernard_sanders,35,fear,asian,0.049,-0.046,0.003,66.0,Man
bernard_sanders,38,sad,asian,-0.096,-0.177,-0.213,60.0,Man
bernard_sanders,52,happy,white,0.396,0.297,0.495,75.0,Man
bernard_sanders,39,happy,white,0.396,0.297,0.495,66.0,Man
bernard_sanders,25,fear,white,-0.099,-0.198,-0.099,60.0,Man
bill_cassidy,33,sad,white,-0.091,-0.178,-0.233,42.0,Man
bill_cassidy,25,neutral,white,-0.031,-0.057,-0.04,52.0,Man
bill_cassidy,26,happy,white,0.4,0.3,0.5,46.0,Man
bill_cassidy,35,neutral,white,-0.002,-0.013,0.003,48.0,Man
bill_cassidy,51,happy,white,0.4,0.3,0.5,49.0,Man
bill_cassidy,53,fear,white,-0.101,-0.2,-0.099,50.0,Man
bill_cassidy,44,happy,white,0.4,0.3,0.5,42.0,Man
bill_cassidy,33,sad,white,-0.091,-0.178,-0.233,44.0,Man
bill_cassidy,30,neutral,white,-0.015,-0.036,-0.003,46.0,Man
bill_hagerty,35,happy,white,0.316,0.237,0.395,55.0,Man
bill_hagerty,39,fear,asian,-0.033,-0.128,-0.048,56.3,Man
bill_hagerty,46,happy,asian,0.192,0.094,0.25,60.7,Man
bill_hagerty,44,happy,asian,0.384,0.288,0.48,55.0,Man
bill_hagerty,41,neutral,asian,0.124,0.093,0.155,56.3,Man
bill_hagerty,31,neutral,asian,-0.027,-0.054,-0.063,60.7,Man
bill_hagerty,44,happy,asian,0.384,0.288,0.48,55.0,Man
bill_hagerty,46,fear,latino hispanic,-0.099,-0.198,-0.099,56.3,Man
bill_hagerty,41,neutral,asian,0.02,0.015,0.025,60.7,Man
bill_hagerty,39,neutral,latino hispanic,0.091,0.068,0.112,55.0,Man
bill_nelson,27,angry,asian,-0.14,-0.223,-0.171,48.0,Man
bill_nelson,42,sad,white,-0.093,-0.185,-0.274,49.9,Man
bill_nelson,41,happy,white,0.396,0.297,0.495,48.0,Man
bill_nelson,42,sad,white,-0.093,-0.185,-0.274,53.0,Man
bill_nelson,40,happy,white,0.396,0.297,0.495,47.0,Man
bill_nelson,41,happy,white,0.396,0.297,0.495,46.0,Man
bill_nelson,51,neutral,white,0.0,0.0,0.0,46.0,Man
bill_nelson,37,happy,white,0.396,0.297,0.495,44.0,Man
bill_nelson,30,happy,white,0.396,0.297,0.495,41.3,Man
bill_nelson,41,happy,white,0.396,0.297,0.495,48.0,Man
bill_nelson,32,angry,white,-0.155,-0.251,-0.133,50.0,Man
bill_nelson,29,happy,white,0.383,0.286,0.479,45.0,Man
charles_e._schumer,41,happy,white,0.392,0.294,0.49,54.0,Man
charles_e._schumer,35,happy,white,0.34,0.255,0.425,56.0,Man
charles_e._schumer,59,angry,middle eastern,-0.191,-0.29,-0.109,50.0,Man
charles_e._schumer,27,happy,middle eastern,0.396,0.297,0.495,59.0,Man
charles_e._schumer,23,happy,middle eastern,0.396,0.297,0.495,60.0,Man
charles_e._schumer,44,happy,white,0.316,0.237,0.395,52.0,Man
charles_e._schumer,41,happy,white,0.392,0.294,0.49,56.0,Man
charles_e._schumer,59,sad,white,-0.095,-0.182,-0.239,50.6,Man
christopher_a._coons,26,happy,white,0.388,0.29,0.478,57.0,Man
christopher_a._coons,42,happy,asian,0.3,0.225,0.375,57.0,Man
christopher_a._coons,35,angry,white,-0.122,-0.202,-0.15,57.0,Man
christopher_a._coons,37,angry,white,-0.19,-0.288,-0.11,57.0,Man
christopher_a._coons,49,happy,white,0.175,0.092,0.171,57.0,Man
christopher_a._coons,26,happy,white,0.388,0.29,0.478,57.0,Man
christopher_a._coons,25,neutral,white,-0.05,-0.1,-0.068,57.0,Man
christopher_a._coons,50,neutral,asian,-0.065,-0.111,-0.1,57.0,Man
christopher_a._coons,50,neutral,asian,-0.065,-0.111,-0.1,57.0,Man
christopher_a._coons,28,neutral,latino hispanic,0.0,0.0,0.0,57.0,Man
christopher_a._coons,55,neutral,white,0.042,0.0079999999999999,0.048,57.0,Man
christopher_a._coons,44,neutral,white,-0.076,-0.133,-0.103,57.0,Man
christopher_a._coons,25,neutral,white,-0.05,-0.1,-0.068,57.0,Man
christopher_a._coons,50,fear,white,-0.097,-0.194,-0.099,57.0,Man
christopher_murphy,46,neutral,white,0.08,0.05,0.09,58.0,Man
christopher_murphy,34,neutral,white,0.08,0.06,0.1,59.0,Man
christopher_murphy,28,happy,white,0.396,0.297,0.495,55.1,Man
christopher_murphy,27,happy,white,0.335,0.247,0.42,57.0,Man
christopher_murphy,30,surprise,white,0.297,0.198,0.198,56.0,Man
christopher_murphy,40,angry,white,-0.182,-0.278,-0.103,54.0,Man
christopher_murphy,28,happy,white,0.396,0.297,0.495,58.0,Man
christopher_murphy,27,sad,asian,-0.099,-0.198,-0.281,59.0,Man
christopher_murphy,34,neutral,white,0.08,0.06,0.1,55.1,Man
christopher_murphy,26,neutral,white,-0.004,-0.033,-0.032,57.0,Man
christopher_murphy,27,happy,white,0.368,0.276,0.46,56.0,Man
christopher_murphy,37,neutral,white,0.0,0.0,0.0,54.0,Man
christopher_murphy,30,surprise,white,0.277,0.178,0.183,58.0,Man
christopher_murphy,35,happy,white,0.383,0.287,0.477,59.0,Man
cindy_hyde-smith,39,happy,white,0.264,0.168,0.342,29.0,Woman
cindy_hyde-smith,49,happy,white,0.147,0.069,0.186,27.4,Woman
cindy_hyde-smith,35,sad,white,-0.064,-0.126,-0.178,58.31,Woman
cindy_hyde-smith,37,happy,white,0.388,0.291,0.485,47.0,Woman
cindy_hyde-smith,51,happy,white,0.396,0.297,0.495,50.0,Woman
cindy_hyde-smith,42,happy,white,0.34,0.255,0.425,36.0,Woman
cindy_hyde-smith,34,sad,white,-0.057,-0.125,-0.139,24.0,Woman
cindy_hyde-smith,35,sad,white,-0.064,-0.126,-0.178,38.0,Woman
cindy_hyde-smith,32,happy,white,0.34,0.255,0.425,38.0,Woman
cindy_hyde-smith,46,happy,white,0.32,0.24,0.4,27.0,Woman
